Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Ordinary,Alex Warren,1,1,21
2,What I Want,Morgan Wallen Featuring Tate McRae,2,1,7
3,Just In Case,Morgan Wallen,4,2,15
4,A Bar Song (Tipsy),Shaboozey,7,1,64
5,I'm The Problem,Morgan Wallen,5,2,22
6,Luther,Kendrick Lamar & SZA,6,1,32
7,Manchild,Sabrina Carpenter,3,1,4
8,Lose Control,Teddy Swims,9,1,98
9,Die With A Smile,Lady Gaga & Bruno Mars,8,1,46
10,Pink Pony Club,Chappell Roan,11,4,55
11,Beautiful Things,Benson Boone,12,2,75
12,Love Me Not,Ravyn Lenae,14,12,14
13,I Had Some Help,Post Malone Featuring Morgan Wallen,13,1,60
14,Mutt,Leon Thomas,15,12,22
15,Birds Of A Feather,Billie Eilish,17,2,59
16,Espresso,Sabrina Carpenter,18,3,64
17,Mystical Magical,Benson Boone,21,17,10
18,Weren't For The Wind,Ella Langley,27,18,22
19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,23,4,13
20,Nokia,Drake,16,2,20
21,I Got Better,Morgan Wallen,20,7,7
22,Sorry I'm Here For Someone Else,Benson Boone,19,19,18
23,Golden,HUNTR/X,81,23,2
24,Blue Strips,Jessie Murph,25,15,12
25,Anxiety,Doechii,24,9,17
26,Outside,Cardi B,10,10,2
27,APT.,ROSE & Bruno Mars,28,3,37
28,Worst Way,Riley Green,22,20,25
29,Good News,Shaboozey,32,29,32
30,Love Somebody,Morgan Wallen,26,1,37
31,Your Idol,Saja Boys,77,31,2
32,30 For 30,SZA With Kendrick Lamar,29,10,28
33,Undressed,sombr,31,25,13
34,Back To Friends,sombr,33,31,14
35,Backup Plan,Bailey Zimmerman & Luke Combs,36,35,9
36,That's So True,Gracie Abrams,35,6,37
37,20 Cigarettes,Morgan Wallen,34,20,7
38,Timeless,The Weeknd & Playboi Carti,37,3,40
39,Burning Blue,Mariah The Scientist,38,25,9
40,6 Months Later,Megan Moroney,30,30,2
41,Messy,Lola Young,39,14,31
42,How It's Done,HUNTR/X,-,42,1
43,The Giver,Chappell Roan,-,5,8
44,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",44,44,7
45,After All The Bars Are Closed,Thomas Rhett,47,45,10
46,Just Keep Watching,Tate McRae,55,33,5
47,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,41,8,11
48,Sports Car,Tate McRae,40,16,23
49,Soda Pop,Saja Boys,-,49,1
50,No One Noticed,The Marias,45,22,40
51,Wildflower,Billie Eilish,43,17,55
52,Superman,Morgan Wallen,42,8,8
53,Happen To Me,Russell Dickerson,51,49,11
54,Somebody Loves Me,PARTYNEXTDOOR & Drake,50,30,20
55,What It Sounds Like,HUNTR/X,-,55,1
56,Amen,Shaboozey & Jelly Roll,59,56,10
57,Azizam,Ed Sheeran,52,28,13
58,Free,"Rumi, JINU, EJAE & Andrew Choi",-,58,1
59,TN,Morgan Wallen,53,31,7
60,On My Mind,Alex Warren & ROSE,-,60,1
61,Indigo,Sam Barber Featuring Avery Anna,57,40,30
62,Whim Whamiee,PLUTO & YKNIECE,54,51,11
63,Dark Thoughts,Lil Tecca,48,28,16
64,Takedown,HUNTR/X,-,64,1
65,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,63,40,20
66,House Again,Hudson Westbrook,68,66,11
67,Fix What You Didn't Break,Nate Smith,75,64,14
68,Party 4 U,Charli xcx,56,55,11
69,Your Way's Better,Forrest Frank,62,61,11
70,Typa,GloRilla,60,42,4
71,Tu Sancho,Fuerza Regida,65,65,5
72,I'm A Little Crazy,Morgan Wallen,67,17,15
73,Rather Lie,Playboi Carti & The Weeknd,76,4,16
74,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish,80,74,2
75,Marlboro Rojo,Fuerza Regida,64,64,8
76,Bloodline,Alex Warren With Jelly Roll,58,32,6
77,Home,BigXthaPlug & Shaboozey,-,77,1
78,Peekaboo,Kendrick Lamar Featuring AzChike,70,13,32
79,Dark Til Daylight,Morgan Wallen,69,49,7
80,Latina Foreva,Karol G,66,66,4
81,Folded,Kehlani,79,76,3
82,FWU,Don Toliver,-,82,1
83,Twilight Zone,Ariana Grande,71,18,13
84,OWA OWA,Lil Tecca,61,50,5
85,What Was That,Lorde,-,36,4
86,Single Again,Josh Ross,89,86,3
87,Gabriela,KATSEYE,94,87,2
88,EOO,Bad Bunny,78,24,24
89,Went West,BabyChiefDoit,-,89,1
90,Nice To Meet You,Myles Smith,84,84,5
91,Bodies,Offset & JID,72,72,2
92,This Heart,Corey Kent,82,82,2
93,Thought It Was Love,Ty Myers,85,79,7
94,Touch Me Like A Gangster,Jessie Murph,87,56,4
95,Went Legit,G Herbo,-,95,1
96,Gnarly,KATSEYE,98,90,5
97,Me Jalo,Fuerza Regida & Grupo Frontera,83,48,20
98,Better Me For You (Brown Eyes),Max McNown,92,92,4
99,Bar None,Jordan Davis,-,99,1
100,Eyes Are Closed,Morgan Wallen,86,22,7
