Title,Artist,Playcount,URL
Stateside + Zara Larsson,PinkPantheress,6976300,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
End of Beginning,Djo,31160596,https://www.last.fm/music/Djo/_/End+of+Beginning
Aperture,Harry Styles,2371055,https://www.last.fm/music/Harry+Styles/_/Aperture
Fame Is a Gun,Addison Rae,15508999,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
WHERE IS MY HUSBAND!,RAYE,7863606,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
DtMF,Bad Bunny,11220822,https://www.last.fm/music/Bad+Bunny/_/DtMF
Midnight Sun,Zara Larsson,7933877,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
back to friends,sombr,21257941,https://www.last.fm/music/sombr/_/back+to+friends
Manchild,Sabrina Carpenter,20344446,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
No One Noticed,The Marías,30197249,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
The Fate of Ophelia,Taylor Swift,21135719,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
Man I Need,Olivia Dean,6723535,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
So Easy (To Fall In Love),Olivia Dean,5621966,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
Lush Life,Zara Larsson,11812046,https://www.last.fm/music/Zara+Larsson/_/Lush+Life
4 Raws,EsDeeKid,6812796,https://www.last.fm/music/EsDeeKid/_/4+Raws
Creep,Radiohead,57295426,https://www.last.fm/music/Radiohead/_/Creep
The Less I Know the Better,Tame Impala,45595891,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Sienna,The Marías,17279030,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
"Good Luck, Babe!",Chappell Roan,56934901,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
