Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Choosin' Texas,Ella Langley,1,1,37
,"I Knew It, I Knew You",Taylor Swift,,,
,Be Her,Ella Langley,,,
,Janice STFU,Drake,,,
,Man I Need,Olivia Dean,,,
,I Can't Love You Anymore,Ella Langley&Morgan Wallen,,,
,Hate That I Made You Love Me,Ariana Grande,,,
,Dracula,Tame Impala&JENNIE,,,
,Drop Dead,Olivia Rodrigo,,,
,I Just Might,Bruno Mars,,,
,Stupid Song,Olivia Rodrigo,,,
,So Easy (To Fall In Love),Olivia Dean,,,
,Boston,Stella Lefty,,,
,Risk It All,Bruno Mars,,,
,Homewrecker,sombr,,,
,Stateside,PinkPantheressWithZara Larsson,,,
,Midnight Sun,Zara Larsson,,,
,The Cure,Olivia Rodrigo,,,
,Spend Dat,Yung Miami,,,
,Be By You,Luke Combs,,,
,Don't We,Morgan Wallen,,,
,Earrings,Malcolm Todd,,,
,Shabang,Drake,,,
,Honeybee,Olivia Rodrigo,,,
,Cinderella,Mac MillerFeaturingTy Dolla $ign,,,
,Babydoll,Dominic Fike,,,
,Sleepless In A Hotel Room,Luke Combs,,,
,E85,Don Toliver,,,
,American Girls,Harry Styles,,,
,My Body Isn't Ready,sombr,,,
,Maggots For Brains,Olivia Rodrigo,,,
,Chicago,Michael Jackson,,,
,Die On This Hill,Sienna Spiro,,,
,Hit The Wall,Gracie Abrams,,,
,Expectations,Olivia Rodrigo,,,
,Don't Tell On Me,Jason Aldean,,,
,Freakin' Out,Dexter And The Moonrocks,,,
,Ran To Atlanta,DrakeFeaturingFuture& Molly Santana,,,
,Pop Dat Thang,DaBaby,,,
,What's Wrong With Me,Olivia Rodrigo&Robert Smith,,,
,Change My Mind,Riley Green,,,
,My Way,Olivia Rodrigo,,,
,Loving Life Again,Ella Langley,,,
,What You Need,Tems,,,
,Beautiful Things,Megan Moroney,,,
,Human Nature,Michael Jackson,,,
,The Great Divide,Noah Kahan,,,
,u + me = <3,Olivia Rodrigo,,,
,Iconic By Mistake,"Le Sserafim,ILLIT&KATSEYE",,,
,2 Hard 4 The Radio,Drake,,,
,Begged,Olivia Rodrigo,,,
,Orbiter,Noah Kahan,,,
,Fever Dream,Alex Warren,,,
,Look At My Life,Gracie Abrams,,,
,Less,Olivia Rodrigo,,,
,Whisper My Name,Drake,,,
,Self Aware,Temper City,,,
,Motion Party,BossMan Dlow,,,
,Mexico Honey,Kacey Musgraves,,,
,The Time Of My Life,Benson Boone,,,
,Noble,F3miii,,,
,Hate How You Look,Josh Ross,,,
,Iloveitiloveitiloveit,Bella Kay,,,
,National Treasures,Drake,,,
,Doors,Noah Kahan,,,
,Raindance,Dave&Tems,,,
,Dai Dai (FIFA World Cup Official Song 2026),ShakiraXBurna Boy,,,
,Radio,Future,,,
,Piece Of Your Love,Rod Wave,,,
,McArthur,"HARDY,Eric Church,Morgan Wallen&Tim McGraw",,,
,Rubberz,Fenix Flexin,,,
,Something To Lose,Stella Lefty Featuring Vincent Mason,,,
,Cigarette Smoke,Olivia Rodrigo,,,
,Bottom Of Your Boots,Ella Langley,,,
,Woman,Kane Brown,,,
,Swim,BTS,,,
,My Way,Riley Green,,,
,Willing And Able,Noah Kahan,,,
,Purple,Olivia Rodrigo,,,
,I Want You,Cody Johnson,,,
,Damned If I Do,Vincent Mason,,,
,House Tour,Sabrina Carpenter,,,
,Rein Me In,Sam Fender&Olivia Dean,,,
,Speed Demon,Justin Bieber,,,
,Rethink Some Things,Luke Combs,,,
,White Keys,Dominic Fike,,,
,Is It Cool?,Steve LacyFeaturingSZA,,,
,"Phone, Keys, Wallet",Lainey Wilson& John Mayer,,,
,Plot Twist,Drake,,,
,Rocky Mountain Low,Corey Kent &Koe Wetzel,,,
,B's On The Table,DrakeFeaturing21 Savage,,,
,Chevy Silverado,Bailey Zimmerman,,,
,Mr. Know It All,Teddy Swims,,,
,Cowgirl,Shaboozey,,,
,Carry On,Kenny Chesney,,,
,Empty Words,Corey Kent,,,
,Kingdom Of Fear,Cameron Whitcomb,,,
,What Did I Miss?,Drake,,,
,No Need For Leavin',Kameron Marlowe,,,
,I'm Spent,DrakeFeaturing Loe Shimmy,,,
