Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Ordinary,Alex Warren,1,1,20
2,What I Want,Morgan Wallen Featuring Tate McRae,3,1,6
3,Manchild,Sabrina Carpenter,2,1,3
4,Just In Case,Morgan Wallen,4,2,14
5,I'm The Problem,Morgan Wallen,6,2,21
6,Luther,Kendrick Lamar & SZA,5,1,31
7,A Bar Song (Tipsy),Shaboozey,7,1,63
8,Die With A Smile,Lady Gaga & Bruno Mars,8,1,45
9,Lose Control,Teddy Swims,9,1,97
10,Outside,Cardi B,-,10,1
11,Pink Pony Club,Chappell Roan,11,4,54
12,Beautiful Things,Benson Boone,10,2,74
13,I Had Some Help,Post Malone Featuring Morgan Wallen,13,1,59
14,Love Me Not,Ravyn Lenae,17,14,13
15,Mutt,Leon Thomas,12,12,21
16,Nokia,Drake,14,2,19
17,Birds Of A Feather,Billie Eilish,15,2,58
18,Espresso,Sabrina Carpenter,16,3,63
19,Sorry I'm Here For Someone Else,Benson Boone,27,19,17
20,I Got Better,Morgan Wallen,26,7,6
21,Mystical Magical,Benson Boone,28,21,9
22,Worst Way,Riley Green,21,20,24
23,All The Way,BigXthaPlug Featuring Bailey Zimmerman,19,4,12
24,Anxiety,Doechii,18,9,16
25,Blue Strips,Jessie Murph,20,15,11
26,Love Somebody,Morgan Wallen,22,1,36
27,Weren't For The Wind,Ella Langley,23,23,21
28,APT.,ROSE & Bruno Mars,25,3,36
29,30 For 30,SZA With Kendrick Lamar,24,10,27
30,6 Months Later,Megan Moroney,-,30,1
31,Undressed,sombr,29,25,12
32,Good News,Shaboozey,30,30,31
33,Back To Friends,sombr,31,31,13
34,20 Cigarettes,Morgan Wallen,32,20,6
35,That's So True,Gracie Abrams,35,6,36
36,Backup Plan,Bailey Zimmerman & Luke Combs,45,36,8
37,Timeless,The Weeknd & Playboi Carti,36,3,39
38,Burning Blue,Mariah The Scientist,37,25,8
39,Messy,Lola Young,39,14,30
40,Sports Car,Tate McRae,33,16,22
41,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,34,8,10
42,Superman,Morgan Wallen,41,8,7
43,Wildflower,Billie Eilish,44,17,54
44,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",47,44,6
45,No One Noticed,The Marias,46,22,39
46,TV Off,Kendrick Lamar Featuring Lefty Gunplay,43,2,31
47,After All The Bars Are Closed,Thomas Rhett,53,47,9
48,Dark Thoughts,Lil Tecca,38,28,15
49,Cry For Me,The Weeknd,48,12,21
50,Somebody Loves Me,PARTYNEXTDOOR & Drake,54,30,19
51,Happen To Me,Russell Dickerson,50,49,10
52,Azizam,Ed Sheeran,57,28,12
53,TN,Morgan Wallen,58,31,6
54,Whim Whamiee,PLUTO & YKNIECE,63,51,10
55,Just Keep Watching,Tate McRae,59,33,4
56,Party 4 U,Charli xcx,62,55,10
57,Indigo,Sam Barber Featuring Avery Anna,61,40,29
58,Bloodline,Alex Warren With Jelly Roll,55,32,5
59,Amen,Shaboozey & Jelly Roll,64,59,9
60,Typa,GloRilla,56,42,3
61,OWA OWA,Lil Tecca,51,50,4
62,Your Way's Better,Forrest Frank,65,61,10
63,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,52,40,19
64,Marlboro Rojo,Fuerza Regida,72,64,7
65,Tu Sancho,Fuerza Regida,73,65,4
66,Latina Foreva,Karol G,-,66,3
67,I'm A Little Crazy,Morgan Wallen,67,17,14
68,House Again,Hudson Westbrook,75,68,10
69,Dark Til Daylight,Morgan Wallen,66,49,6
70,Peekaboo,Kendrick Lamar Featuring AzChike,68,13,31
71,Twilight Zone,Ariana Grande,88,18,12
72,Bodies,Offset & JID,-,72,1
73,Mr Electric Blue,Benson Boone,-,73,1
74,Papasito,Karol G,-,74,1
75,Fix What You Didn't Break,Nate Smith,77,64,13
76,Rather Lie,Playboi Carti & The Weeknd,74,4,15
77,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",-,77,1
78,EOO,Bad Bunny,81,24,23
79,Folded,Kehlani,76,76,2
80,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish,-,80,1
81,Golden,"HUNTR/X, EJAE, Audrey Nuna & Rei Ami",-,81,1
82,This Heart,Corey Kent,-,82,1
83,Me Jalo,Fuerza Regida & Grupo Frontera,80,48,19
84,Nice To Meet You,Myles Smith,85,84,4
85,Thought It Was Love,Ty Myers,82,79,6
86,Eyes Are Closed,Morgan Wallen,79,22,6
87,Touch Me Like A Gangster,Jessie Murph,71,56,3
88,Backseat Driver,Kane Brown,60,60,16
89,Single Again,Josh Ross,97,89,2
90,Killin' It Girl,j-hope & GloRilla,40,40,2
91,Where'd That Girl Go,Morgan Wallen,84,32,6
92,Better Me For You (Brown Eyes),Max McNown,96,92,3
93,Por Esos Ojos,Fuerza Regida,92,64,14
94,Gabriela,KATSEYE,-,94,1
95,Kick Myself,Morgan Wallen,86,21,6
96,Verano Rosa,Karol G & Feid,-,96,1
97,Don't We,Morgan Wallen,-,48,4
98,Gnarly,KATSEYE,98,90,4
99,Sapphire,Ed Sheeran,83,74,3
100,Kiss Her In Front Of You,Morgan Wallen,87,34,6
