Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Choosin' Texas,Ella Langley,1,1,26
,Man I Need,Olivia Dean,,,
,I Just Might,Bruno Mars,,,
,Be Her,Ella Langley,,,
,Ordinary,Alex Warren,,,
,So Easy (To Fall In Love),Olivia Dean,,,
,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Stateside,PinkPantheressWithZara Larsson,,,
,Folded,Kehlani,,,
,Swim,BTS,,,
,The Fate Of Ophelia,Taylor Swift,,,
,Risk It All,Bruno Mars,,,
,Yukon,Justin Bieber,,,
,Where Is My Husband!,RAYE,,,
,Dracula,Tame Impala&JENNIE,,,
,Sleepless In A Hotel Room,Luke Combs,,,
,Opalite,Taylor Swift,,,
,Daisies,Justin Bieber,,,
,Babydoll,Dominic Fike,,,
,Bottom Of Your Boots,Ella Langley,,,
,Loving Life Again,Ella Langley,,,
,Iloveitiloveitiloveit,Bella Kay,,,
,E85,Don Toliver,,,
,Be By You,Luke Combs,,,
,Homewrecker,sombr,,,
,Beauty And A Beat,Justin BieberFeaturingNicki Minaj,,,
,Dandelion,Ella Langley,,,
,Pinky Up,KATSEYE,,,
,The Fall,Cody Johnson,,,
,American Girls,Harry Styles,,,
,Body,Don Toliver,,,
,Pop Dat Thang,DaBaby,,,
,Change My Mind,Riley Green,,,
,White Keys,Dominic Fike,,,
,Freakin' Out,Dexter And The Moonrocks,,,
,Die On This Hill,Sienna Spiro,,,
,Let 'Em Know,T.I.,,,
,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,,,
,Fever Dream,Alex Warren,,,
,Earrings,Malcolm Todd,,,
,When Did You Get Hot?,Sabrina Carpenter,,,
,Lush Life,Zara Larsson,,,
,Motion Party,BossMan Dlow,,,
,Midnight Sun,Zara Larsson,,,
,The Great Divide,Noah Kahan,,,
,Days Like These,Luke Combs,,,
,Baby,Justin BieberFeaturingLudacris,,,
,What You Saying,Lil Uzi Vert,,,
,Brunette,Tucker Wetmore,,,
,Runway,Lady Gaga&Doechii,,,
,Elizabeth Taylor,Taylor Swift,,,
,Raindance,Dave&Tems,,,
,Broken,Ella Langley,,,
,We Know Us,Ella Langley,,,
,You & Me Time,Ella Langley,,,
,What He'll Never Have,Dylan Scott,,,
,Obvious,Chris Brown,,,
,McArthur,"HARDY,Eric Church,Morgan Wallen&Tim McGraw",,,
,FDO,Pooh Shiesty,,,
,Boston,Stella Lefty,,,
,In My Room,Julia Wolf,,,
,Low Lights,Ella Langley,,,
,Speaking Terms,Ella Langley,,,
,Father,Ye &Travis Scott,,,
,What You Need,Tems,,,
,Turn This Truck Around,Jordan Davis,,,
,Beautiful Things,Megan Moroney,,,
,Don't We,Morgan Wallen,,,
,Body To Body,BTS,,,
,One Of Them,"DJ Khaled,Future&Lil Baby",,,
,Butterfly Season,Ella Langley &Miranda Lambert,,,
,Porch Light,Noah Kahan,,,
,Rein Me In,Sam Fender&Olivia Dean,,,
,Dry Spell,Kacey Musgraves,,,
,Somethin' Simple,Ella Langley,,,
,Last Call For Us,Ella Langley,,,
,Go Away,Weezer,,,
,Rethink Some Things,Luke Combs,,,
,Chanel,Tyla,,,
,I Gotta Quit,Ella Langley,,,
,Mrs. Trendsetter,Lil Baby,,,
,Mr. Know It All,Teddy Swims,,,
,It Wasn't God Who Made Honky Tonk Angels,Ella Langley,,,
,Ain't A Bad Life,Thomas RhettFeaturingJordan Davis,,,
,Hate How You Look,Josh Ross,,,
,All The Love,Ye &Andre Troutman,,,
,Dano,Peso Pluma& Tito Double P,,,
,2.0,BTS,,,
,Ever Since U Left Me,Max B &French Montana,,,
,Hooligan,BTS,,,
,The Visitor,Sienna Spiro,,,
,Rocky Mountain Low,Corey Kent &Koe Wetzel,,,
,Jane!,The Long Faces,,,
,Aperture,Harry Styles,,,
,Who Knows,Daniel Caesar,,,
,Don't Tell On Me,Jason Aldean,,,
,Self Aware,Temper City,,,
,Zoo,Shakira,,,
,Plastic Cigarette,Zach Bryan,,,
,Woman,Kane Brown,,,
