Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew YouTaylor Swift",-,1
,Choosin' Texas,Ella Langley,,,
,Janice STFU,Drake,,,
,Be Her,Ella Langley,,,
,Hate That I Made You Love Me,Ariana Grande,,,
,I Just Might,Bruno Mars,,,
,Man I Need,Olivia Dean,,,
,So Easy (To Fall In Love),Olivia Dean,,,
,I Can't Love You Anymore,Ella Langley&Morgan Wallen,,,
,Dracula,Tame Impala&JENNIE,,,
,Shabang,Drake,,,
,Risk It All,Bruno Mars,,,
,Drop Dead,Olivia Rodrigo,,,
,Boston,Stella Lefty,,,
,Stateside,PinkPantheressWithZara Larsson,,,
,Folded,Kehlani,,,
,The Cure,Olivia Rodrigo,,,
,Billie Jean,Michael Jackson,,,
,Homewrecker,sombr,,,
,Midnight Sun,Zara Larsson,,,
,Ran To Atlanta,DrakeFeaturingFuture& Molly Santana,,,
,Earrings,Malcolm Todd,,,
,Whisper My Name,Drake,,,
,Change My Mind,Riley Green,,,
,Be By You,Luke Combs,,,
,National Treasures,Drake,,,
,Chicago,Michael Jackson,,,
,Babydoll,Dominic Fike,,,
,Sleepless In A Hotel Room,Luke Combs,,,
,2 Hard 4 The Radio,Drake,,,
,Cinderella,Mac MillerFeaturingTy Dolla $ign,,,
,E85,Don Toliver,,,
,Don't We,Morgan Wallen,,,
,Spend Dat,Yung Miami,,,
,Loving Life Again,Ella Langley,,,
,Pop Dat Thang,DaBaby,,,
,Human Nature,Michael Jackson,,,
,Motion Party,BossMan Dlow,,,
,American Girls,Harry Styles,,,
,Freakin' Out,Dexter And The Moonrocks,,,
,The Great Divide,Noah Kahan,,,
,Hit The Wall,Gracie Abrams,,,
,Swim,BTS,,,
,Die On This Hill,Sienna Spiro,,,
,Plot Twist,Drake,,,
,Don't Stop 'Til You Get Enough,Michael Jackson,,,
,Lush Life,Zara Larsson,,,
,B's On The Table,DrakeFeaturing21 Savage,,,
,Iloveitiloveitiloveit,Bella Kay,,,
,Fever Dream,Alex Warren,,,
,Don't Tell On Me,Jason Aldean,,,
,Dust,Drake,,,
,What You Need,Tems,,,
,Make Them Pay,Drake,,,
,Hate How You Look,Josh Ross,,,
,Body,Don Toliver,,,
,Doors,Noah Kahan,,,
,Let 'Em Know,T.I.,,,
,Dandelion,Ella Langley,,,
,What Did I Miss?,Drake,,,
,Burning Bridges,Drake,,,
,Beautiful Things,Megan Moroney,,,
,I'm Spent,DrakeFeaturing Loe Shimmy,,,
,Self Aware,Temper City,,,
,Raindance,Dave&Tems,,,
,Rubberz,Fenix Flexin,,,
,Noble,F3miii,,,
,Mexico Honey,Kacey Musgraves,,,
,Orbiter,Noah Kahan,,,
,White Keys,Dominic Fike,,,
,Bottom Of Your Boots,Ella Langley,,,
,Turn This Truck Around,Jordan Davis,,,
,Don’t Worry,Drake,,,
,McArthur,"HARDY,Eric Church,Morgan Wallen&Tim McGraw",,,
,The Feeling,Steve Lacy,,,
,Something To Lose,Stella Lefty Featuring Vincent Mason,,,
,My Way,Riley Green,,,
,Woman,Kane Brown,,,
,Make Them Cry,Drake,,,
,"Phone, Keys, Wallet",Lainey Wilson& John Mayer,,,
,Little Birdie,Drake,,,
,Mr. Know It All,Teddy Swims,,,
,Rethink Some Things,Luke Combs,,,
,Rein Me In,Sam Fender&Olivia Dean,,,
,Pinky Up,KATSEYE,,,
,Classic,Drake,,,
,House Tour,Sabrina Carpenter,,,
,Damned If I Do,Vincent Mason,,,
,Ever Since U Left Me (I Went Deaf),French Montana& Max B,,,
,WNBA,Drake,,,
,Willing And Able,Noah Kahan,,,
,I Saw Your Face,Malcolm Todd,,,
,Bloodstream,Alyssa Grace,,,
,Porch Light,Noah Kahan,,,
,High Hopes 3000,Role Model,,,
,Kingdom Of Fear,Cameron Whitcomb,,,
,Difficult Love,Malcolm Todd,,,
,Cowgirl,Shaboozey,,,
,Think As You Drunk,Riley Green,,,
,Passenger,Alex Warren,,,
