Title,Artist,Playcount,URL
stupid song,Olivia Rodrigo,4024150,https://www.last.fm/music/Olivia+Rodrigo/_/stupid+song
the cure,Olivia Rodrigo,8513537,https://www.last.fm/music/Olivia+Rodrigo/_/the+cure
drop dead,Olivia Rodrigo,12811325,https://www.last.fm/music/Olivia+Rodrigo/_/drop+dead
honeybee,Olivia Rodrigo,2851951,https://www.last.fm/music/Olivia+Rodrigo/_/honeybee
maggots for brains,Olivia Rodrigo,2823096,https://www.last.fm/music/Olivia+Rodrigo/_/maggots+for+brains
my way,Olivia Rodrigo,2795996,https://www.last.fm/music/Olivia+Rodrigo/_/my+way
u + me = <3,Olivia Rodrigo,2485638,https://www.last.fm/music/Olivia+Rodrigo/_/u+%252B+me+=+%3C3
expectations,Olivia Rodrigo,2644984,https://www.last.fm/music/Olivia+Rodrigo/_/expectations
begged,Olivia Rodrigo,2307759,https://www.last.fm/music/Olivia+Rodrigo/_/begged
what’s wrong with me,Olivia Rodrigo,2402645,https://www.last.fm/music/Olivia+Rodrigo/_/what%E2%80%99s+wrong+with+me
less,Olivia Rodrigo,2213139,https://www.last.fm/music/Olivia+Rodrigo/_/less
purple,Olivia Rodrigo,2087759,https://www.last.fm/music/Olivia+Rodrigo/_/purple
cigarette smoke,Olivia Rodrigo,1931576,https://www.last.fm/music/Olivia+Rodrigo/_/cigarette+smoke
hate that i made you love me,Ariana Grande,8194472,https://www.last.fm/music/Ariana+Grande/_/hate+that+i+made+you+love+me
Earrings,Malcolm Todd,12773217,https://www.last.fm/music/Malcolm+Todd/_/Earrings
Stateside + Zara Larsson,PinkPantheress,23379741,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
Babydoll,Dominic Fike,27494847,https://www.last.fm/music/Dominic+Fike/_/Babydoll
Billie Jean,Michael Jackson,28403370,https://www.last.fm/music/Michael+Jackson/_/Billie+Jean
Chicago,Michael Jackson,14273646,https://www.last.fm/music/Michael+Jackson/_/Chicago
ICONIC BY MISTAKE,LE SSERAFIM,1450659,https://www.last.fm/music/LE+SSERAFIM/_/ICONIC+BY+MISTAKE
Beauty and a Beat,Justin Bieber,18550859,https://www.last.fm/music/Justin+Bieber/_/Beauty+and+a+Beat
Girl Like Me,PinkPantheress,10735906,https://www.last.fm/music/PinkPantheress/_/Girl+Like+Me
Come Over,BTS,16066552,https://www.last.fm/music/BTS/_/Come+Over
