Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,What I Want,Morgan Wallen Featuring Tate McRae,What I WantMorgan Wallen Featuring Tate McRae,-,1
2,Just In Case,Morgan Wallen,11,2,9
3,I'm The Problem,Morgan Wallen,6,2,16
4,Ordinary,Alex Warren,2,2,15
5,Luther,Kendrick Lamar & SZA,1,1,26
6,Die With A Smile,Lady Gaga & Bruno Mars,3,1,40
7,I Got Better,Morgan Wallen,-,7,1
8,Superman,Morgan Wallen,16,8,2
9,A Bar Song (Tipsy),Shaboozey,4,1,58
10,Love Somebody,Morgan Wallen,18,1,31
11,Lose Control,Teddy Swims,7,1,92
12,Nokia,Drake,5,2,14
13,Anxiety,Doechii,10,9,11
14,Beautiful Things,Benson Boone,8,2,69
15,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,25,8,5
16,Pink Pony Club,Chappell Roan,9,4,49
17,Birds Of A Feather,Billie Eilish,12,2,53
18,Mutt,Leon Thomas,17,13,16
19,I Had Some Help,Post Malone Featuring Morgan Wallen,13,1,54
20,20 Cigarettes,Morgan Wallen,-,20,1
21,Kick Myself,Morgan Wallen,-,21,1
22,Eyes Are Closed,Morgan Wallen,-,22,1
23,All The Way,BigXthaPlug Featuring Bailey Zimmerman,19,4,7
24,Espresso,Sabrina Carpenter,21,3,58
25,Falling Apart,Morgan Wallen,-,25,1
26,Blue Strips,Jessie Murph,15,15,6
27,Messy,Lola Young,20,14,25
28,APT.,ROSE & Bruno Mars,22,3,31
29,"Skoal, Chevy, And Browning",Morgan Wallen,-,29,1
30,Timeless,The Weeknd & Playboi Carti,14,3,34
31,TN,Morgan Wallen,-,31,1
32,Where'd That Girl Go,Morgan Wallen,-,32,1
33,30 For 30,SZA With Kendrick Lamar,24,10,22
34,Kiss Her In Front Of You,Morgan Wallen,-,34,1
35,Worst Way,Riley Green,29,29,19
36,That's So True,Gracie Abrams,26,6,31
37,Burning Blue,Mariah The Scientist,28,25,3
38,Sorry I'm Here For Someone Else,Benson Boone,30,30,12
39,Sports Car,Tate McRae,33,16,17
40,I'm A Little Crazy,Morgan Wallen,52,17,9
41,If You Were Mine,Morgan Wallen,-,41,1
42,Missing,Morgan Wallen,-,42,1
43,No One Noticed,The Marias,32,22,34
44,Weren't For The Wind,Ella Langley,35,35,16
45,Smile,Morgan Wallen,68,4,21
46,Genesis,Morgan Wallen,-,46,1
47,TV Off,Kendrick Lamar Featuring Lefty Gunplay,34,2,26
48,Don't We,Morgan Wallen,-,48,1
49,Undressed,sombr,37,37,7
50,Dark Til Daylight,Morgan Wallen,-,50,1
51,Interlude,Morgan Wallen,-,51,1
52,Number 3 And Number 7,Morgan Wallen Featuring Eric Church,-,52,1
53,Abracadabra,Lady Gaga,36,13,16
54,Revelation,Morgan Wallen,-,54,1
55,Squabble Up,Kendrick Lamar,38,1,26
56,Am I Okay?,Megan Moroney,39,39,37
57,Mystical Magical,Benson Boone,42,40,4
58,Wildflower,Billie Eilish,44,17,49
59,Love Me Not,Ravyn Lenae,43,41,8
60,Jack And Jill,Morgan Wallen,-,60,1
61,Cry For Me,The Weeknd,46,12,16
62,Back To Friends,sombr,45,45,8
63,Come Back As A Redneck,Morgan Wallen Featuring HARDY,-,63,1
64,Good News,Shaboozey,48,34,26
65,Miami,Morgan Wallen,-,65,1
66,DTMF,Bad Bunny,51,2,20
67,Dark Thoughts,Lil Tecca,49,28,10
68,Backup Plan,Bailey Zimmerman & Luke Combs,50,36,3
69,The Dealer,Morgan Wallen Featuring ERNEST,-,69,1
70,Leavin's The Least I Could Do,Morgan Wallen,-,70,1
71,Party 4 U,Charli xcx,60,55,5
72,Drinking Til It Does,Morgan Wallen,-,72,1
73,Nothin' Left,Morgan Wallen,-,73,1
74,Azizam,Ed Sheeran,54,28,7
75,Happen To Me,Russell Dickerson,55,55,5
76,Your Way's Better,Forrest Frank,63,61,5
77,Somebody Loves Me,PARTYNEXTDOOR & Drake,59,30,14
78,Indigo,Sam Barber Featuring Avery Anna,53,40,24
79,LA Night,Morgan Wallen,-,79,1
80,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,67,40,14
81,After All The Bars Are Closed,Thomas Rhett,62,62,4
82,Amen,Shaboozey & Jelly Roll,64,64,4
83,Whiskey In Reverse,Morgan Wallen,-,83,1
84,Working Man's Song,Morgan Wallen,-,84,1
85,Marlboro Rojo,Fuerza Regida,74,74,2
86,House Again,Hudson Westbrook,83,72,5
87,Peekaboo,Kendrick Lamar Featuring AzChike,69,13,26
88,Crazy Eyes,Morgan Wallen,-,88,1
89,Me Jalo,Fuerza Regida & Grupo Frontera,65,48,14
90,Don't Say You Love Me,Jin,-,90,1
91,Shake It To The Max (FLY),"MOLIY, Silent Addy, Skillibeng & Shenseea",-,91,1
92,Backseat Driver,Kane Brown,78,67,11
93,Whiskey Drink,Jason Aldean,84,83,6
94,Baile Inolvidable,Bad Bunny,73,3,20
95,EOO,Bad Bunny,82,24,18
96,Twilight Zone,Ariana Grande,79,18,8
97,Revolving Door,Tate McRae,71,22,13
98,Rather Lie,Playboi Carti & The Weeknd,76,4,10
99,Whim Whamiee,PLUTO & YKNIECE,89,81,5
100,Por Esos Ojos,Fuerza Regida,80,64,9
