Title,Artist,Playcount,URL
Tears,Sabrina Carpenter,4258525,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
Manchild,Sabrina Carpenter,12609453,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
When Did You Get Hot?,Sabrina Carpenter,3298560,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
back to friends,sombr,13687432,https://www.last.fm/music/sombr/_/back+to+friends
House Tour,Sabrina Carpenter,3029021,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
Nobody’s Son,Sabrina Carpenter,2992054,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
The Subway,Chappell Roan,9400016,https://www.last.fm/music/Chappell+Roan/_/The+Subway
SUGAR ON MY TONGUE,"Tyler, The Creator",5766481,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE"
Gabriela,KATSEYE,8626241,https://www.last.fm/music/KATSEYE/_/Gabriela
My Man on Willpower,Sabrina Carpenter,2837702,https://www.last.fm/music/Sabrina+Carpenter/_/My+Man+on+Willpower
Sugar Talking,Sabrina Carpenter,2716190,https://www.last.fm/music/Sabrina+Carpenter/_/Sugar+Talking
Go Go Juice,Sabrina Carpenter,2608192,https://www.last.fm/music/Sabrina+Carpenter/_/Go+Go+Juice
No One Noticed,The Marías,23618223,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
Golden,HUNTR/X,8848533,https://www.last.fm/music/HUNTR%2FX/_/Golden
Gnarly,KATSEYE,13173300,https://www.last.fm/music/KATSEYE/_/Gnarly
Never Getting Laid,Sabrina Carpenter,2304872,https://www.last.fm/music/Sabrina+Carpenter/_/Never+Getting+Laid
Goodbye,Sabrina Carpenter,2236485,https://www.last.fm/music/Sabrina+Carpenter/_/Goodbye
Let Down,Radiohead,30871880,https://www.last.fm/music/Radiohead/_/Let+Down
Sienna,The Marías,9875370,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
"Good Luck, Babe!",Chappell Roan,52003036,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
We Almost Broke Up Again Last Night,Sabrina Carpenter,2340039,https://www.last.fm/music/Sabrina+Carpenter/_/We+Almost+Broke+Up+Again+Last+Night
undressed,sombr,9351254,https://www.last.fm/music/sombr/_/undressed
Creep,Radiohead,51389050,https://www.last.fm/music/Radiohead/_/Creep
Don’t Worry I’ll Make You Worry,Sabrina Carpenter,1981072,https://www.last.fm/music/Sabrina+Carpenter/_/Don%E2%80%99t+Worry+I%E2%80%99ll+Make+You+Worry
"Lover, You Should've Come Over",Jeff Buckley,23364285,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
