Title,Artist,Playcount,URL
"Good Luck, Babe!",Chappell Roan,43387565,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
BIRDS OF A FEATHER,Billie Eilish,40087966,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
luther (with SZA),Kendrick Lamar,16495568,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
No One Noticed,The Marías,15269960,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
espresso,Sabrina Carpenter,42393672,https://www.last.fm/music/Sabrina+Carpenter/_/espresso
See You Again (feat. Kali Uchis),"Tyler, the Creator",42931320,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
Abracadabra,Lady Gaga,13661872,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
guess featuring billie eilish,Charli XCX,20003093,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish
Die With A Smile,Lady Gaga,21924732,https://www.last.fm/music/Lady+Gaga/_/Die+With+A+Smile
tAsTe,Sabrina Carpenter,21343714,https://www.last.fm/music/Sabrina+Carpenter/_/tAsTe
DENIAL IS A RIVER,Doechii,10410375,https://www.last.fm/music/Doechii/_/DENIAL+IS+A+RIVER
Von Dutch,Charli XCX,20227889,https://www.last.fm/music/Charli+XCX/_/Von+Dutch
505,Arctic Monkeys,42885101,https://www.last.fm/music/Arctic+Monkeys/_/505
Pink + White,Frank Ocean,47259044,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
Pink Pony Club,Chappell Roan,17785518,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club
Headlock,Imogen Heap,14740810,https://www.last.fm/music/Imogen+Heap/_/Headlock
All The Stars (with SZA),Kendrick Lamar,23747288,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA)
Timeless (Feat Playboi Carti),The Weeknd,3696032,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Juno,Sabrina Carpenter,15719436,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Wildflower,Billie Eilish,23188807,https://www.last.fm/music/Billie+Eilish/_/Wildflower
sports car,Tate McRae,8845155,https://www.last.fm/music/Tate+McRae/_/sports+car
Lovers Rock,TV Girl,37056162,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Please Please Please,Sabrina Carpenter,27115097,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Creep,Radiohead,41807999,https://www.last.fm/music/Radiohead/_/Creep
Duvet,bôa,29488319,https://www.last.fm/music/b%C3%B4a/_/Duvet
Like Him (feat. Lola Young),"Tyler, the Creator",12745443,"https://www.last.fm/music/Tyler,+the+Creator/_/Like+Him+(feat.+Lola+Young)"
Bed Chem,Sabrina Carpenter,17216031,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
Busy Woman,Sabrina Carpenter,6331553,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman
Sailor Song,Gigi Perez,16232560,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
The Less I Know the Better,Tame Impala,35658014,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
What Was That,Lorde,2488542,https://www.last.fm/music/Lorde/_/What+Was+That
HOT TO GO!,Chappell Roan,24909820,https://www.last.fm/music/Chappell+Roan/_/HOT+TO+GO%21
tv off (feat. Lefty Gunplay),Kendrick Lamar,10566663,https://www.last.fm/music/Kendrick+Lamar/_/tv+off+(feat.+Lefty+Gunplay)
Not Like Us,Kendrick Lamar,23320099,https://www.last.fm/music/Kendrick+Lamar/_/Not+Like+Us
360,Charli XCX,25357509,https://www.last.fm/music/Charli+XCX/_/360
Are We Still Friends?,"Tyler, the Creator",22905004,"https://www.last.fm/music/Tyler,+the+Creator/_/Are+We+Still+Friends%3F"
Sweater Weather,The Neighbourhood,38437653,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Juna,Clairo,12725227,https://www.last.fm/music/Clairo/_/Juna
Twilight Zone,Ariana Grande,4008462,https://www.last.fm/music/Ariana+Grande/_/Twilight+Zone
Poker Face,Lady Gaga,28525717,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
No Surprises,Radiohead,39750303,https://www.last.fm/music/Radiohead/_/No+Surprises
Party 4 U,Charli XCX,7008950,https://www.last.fm/music/Charli+XCX/_/Party+4+U
Tonight,pinkpantheress,2329896,https://www.last.fm/music/pinkpantheress/_/Tonight
Red Wine Supernova,Chappell Roan,23477929,https://www.last.fm/music/Chappell+Roan/_/Red+Wine+Supernova
we can't be friends (wait for your love),Ariana Grande,25205769,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love)
like JENNIE,Jennie,6379079,https://www.last.fm/music/Jennie/_/like+JENNIE
CHIHIRO,Billie Eilish,22047486,https://www.last.fm/music/Billie+Eilish/_/CHIHIRO
Money Trees,Kendrick Lamar,27585749,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees
Iris,The Goo Goo Dolls,15950705,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
that’s so true,Gracie Abrams,14086933,https://www.last.fm/music/Gracie+Abrams/_/that%E2%80%99s+so+true
"Girl, so confusing featuring lorde",Charli XCX,7986565,"https://www.last.fm/music/Charli+XCX/_/Girl,+so+confusing+featuring+lorde"
Feel Good Inc.,Gorillaz,33315950,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Love Me Not,Ravyn Lenae,4889445,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
Bags,Clairo,25036409,https://www.last.fm/music/Clairo/_/Bags
Nokia,Drake,4080584,https://www.last.fm/music/Drake/_/Nokia
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,17123829,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
RATHER LIE (with The Weeknd),Playboi Carti,4263611,https://www.last.fm/music/Playboi+Carti/_/RATHER+LIE+(with+The+Weeknd)
Casual,Chappell Roan,20381575,https://www.last.fm/music/Chappell+Roan/_/Casual
Judas,Lady Gaga,22502970,https://www.last.fm/music/Lady+Gaga/_/Judas
Linger,The Cranberries,23623773,https://www.last.fm/music/The+Cranberries/_/Linger
Just Dance,Lady Gaga,21467408,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
Ribs,Lorde,24951153,https://www.last.fm/music/Lorde/_/Ribs
EVIL J0RDAN,Playboi Carti,4863888,https://www.last.fm/music/Playboi+Carti/_/EVIL+J0RDAN
back to friends,Sombr,2777446,https://www.last.fm/music/Sombr/_/back+to+friends
Earfquake,"Tyler, the Creator",31200444,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake"
365,Charli XCX,15870715,https://www.last.fm/music/Charli+XCX/_/365
Dreams - 2004 Remaster,Fleetwood Mac,18637747,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, the Creator",10107848,"https://www.last.fm/music/Tyler,+the+Creator/_/STICKY+(feat.+GloRilla,+Sexyy+Red+&+Lil+Wayne)"
Pain,pinkpantheress,26991120,https://www.last.fm/music/pinkpantheress/_/Pain
My Love Mine All Mine,Mitski,39491625,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine
The Giver,Chappell Roan,3821690,https://www.last.fm/music/Chappell+Roan/_/The+Giver
Back To Me,The Marías,1589231,https://www.last.fm/music/The+Mar%C3%ADas/_/Back+To+Me
"Henry, Come On",Lana Del Rey,2795997,"https://www.last.fm/music/Lana+Del+Rey/_/Henry,+Come+On"
The Perfect Pair,beabadoobee,20657827,https://www.last.fm/music/beabadoobee/_/The+Perfect+Pair
I Wanna Be Yours,Arctic Monkeys,32568817,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours
All I Need,Radiohead,26274640,https://www.last.fm/music/Radiohead/_/All+I+Need
Fade Into You,Mazzy Star,23798476,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Bad Romance,Lady Gaga,27547049,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
Ivy,Frank Ocean,34389083,https://www.last.fm/music/Frank+Ocean/_/Ivy
APT.,Rosé,19185350,https://www.last.fm/music/Ros%C3%A9/_/APT.
Apocalypse,Cigarettes After Sex,30916505,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
NISSAN ALTIMA,Doechii,7442832,https://www.last.fm/music/Doechii/_/NISSAN+ALTIMA
Heavy,The Marías,7236631,https://www.last.fm/music/The+Mar%C3%ADas/_/Heavy
Still into You,Paramore,19314545,https://www.last.fm/music/Paramore/_/Still+into+You
B2b,Charli XCX,11890691,https://www.last.fm/music/Charli+XCX/_/B2b
Dark Red,Steve Lacy,31493824,https://www.last.fm/music/Steve+Lacy/_/Dark+Red
Dandelion,Ariana Grande,3108861,https://www.last.fm/music/Ariana+Grande/_/Dandelion
revolving door,Tate McRae,4970033,https://www.last.fm/music/Tate+McRae/_/revolving+door
Apple,Charli XCX,17401957,https://www.last.fm/music/Charli+XCX/_/Apple
White Ferrari,Frank Ocean,30106906,https://www.last.fm/music/Frank+Ocean/_/White+Ferrari
Mr. Brightside,The Killers,42200901,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Come as You Are,Nirvana,30279445,https://www.last.fm/music/Nirvana/_/Come+as+You+Are
Headphones On,Addison Rae,1682075,https://www.last.fm/music/Addison+Rae/_/Headphones+On
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,18802972,"https://www.last.fm/music/The+Weeknd/_/One+Of+The+Girls+(with+JENNIE,+Lily+Rose+Depp)"
PRIDE.,Kendrick Lamar,26024173,https://www.last.fm/music/Kendrick+Lamar/_/PRIDE.
No. 1 Party Anthem,Arctic Monkeys,15739560,https://www.last.fm/music/Arctic+Monkeys/_/No.+1+Party+Anthem
Every Breath You Take,The Police,17444969,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
Cigarettes out the Window,TV Girl,22382180,https://www.last.fm/music/TV+Girl/_/Cigarettes+out+the+Window
Not Allowed,TV Girl,29146914,https://www.last.fm/music/TV+Girl/_/Not+Allowed
Do I Wanna Know?,Arctic Monkeys,36505688,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F
