Title,Artist,Playcount,URL
The Fate of Ophelia,Taylor Swift,11590717,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
BERGHAIN,ROSALÍA,1811430,https://www.last.fm/music/ROSAL%C3%8DA/_/BERGHAIN
Tears,Sabrina Carpenter,8948900,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
Dracula,Tame Impala,3059460,https://www.last.fm/music/Tame+Impala/_/Dracula
back to friends,sombr,16960218,https://www.last.fm/music/sombr/_/back+to+friends
Gabriela,KATSEYE,11947624,https://www.last.fm/music/KATSEYE/_/Gabriela
Creep,Radiohead,53537354,https://www.last.fm/music/Radiohead/_/Creep
Manchild,Sabrina Carpenter,15919372,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Sienna,The Marías,13011633,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
Opalite,Taylor Swift,7184463,https://www.last.fm/music/Taylor+Swift/_/Opalite
When Did You Get Hot?,Sabrina Carpenter,7238908,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
WHERE IS MY HUSBAND!,RAYE,3285102,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
No One Noticed,The Marías,26204434,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
The Less I Know the Better,Tame Impala,42468176,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Golden,HUNTR/X,12193364,https://www.last.fm/music/HUNTR%2FX/_/Golden
SUGAR ON MY TONGUE,"Tyler, The Creator",8786102,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE"
"Good Luck, Babe!",Chappell Roan,53853781,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
SPAGHETTI,LE SSERAFIM,7791275,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI
Let Down,Radiohead,33522220,https://www.last.fm/music/Radiohead/_/Let+Down
BIRDS OF A FEATHER,Billie Eilish,50245871,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
House Tour,Sabrina Carpenter,6407485,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
Feel Good Inc.,Gorillaz,35356782,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
The Subway,Chappell Roan,12272481,https://www.last.fm/music/Chappell+Roan/_/The+Subway
Sweater Weather,The Neighbourhood,45191212,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Gnarly,KATSEYE,15904165,https://www.last.fm/music/KATSEYE/_/Gnarly
Nobody’s Son,Sabrina Carpenter,6330414,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
505,Arctic Monkeys,52299567,https://www.last.fm/music/Arctic+Monkeys/_/505
Iris,The Goo Goo Dolls,26541434,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
See You Again (feat. Kali Uchis),"Tyler, The Creator",52039897,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
Lovers Rock,TV Girl,44988105,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Elizabeth Taylor,Taylor Swift,6230519,https://www.last.fm/music/Taylor+Swift/_/Elizabeth+Taylor
No Surprises,Radiohead,49894372,https://www.last.fm/music/Radiohead/_/No+Surprises
Duvet,bôa,36281011,https://www.last.fm/music/b%C3%B4a/_/Duvet
undressed,sombr,11437740,https://www.last.fm/music/sombr/_/undressed
Timeless (Feat Playboi Carti),The Weeknd,9995202,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Father Figure,Taylor Swift,6220105,https://www.last.fm/music/Taylor+Swift/_/Father+Figure
No Pole,Don Toliver,13438421,https://www.last.fm/music/Don+Toliver/_/No+Pole
"Lover, You Should've Come Over",Jeff Buckley,25388512,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
Man I Need,Olivia Dean,2999381,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
PIXELATED KISSES,Joji,4273215,https://www.last.fm/music/Joji/_/PIXELATED+KISSES
Von dutch,Charli xcx,27831393,https://www.last.fm/music/Charli+xcx/_/Von+dutch
So Easy (To Fall In Love),Olivia Dean,1631366,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
Dreams - 2004 Remaster,Fleetwood Mac,24262814,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
Sports car,Tate McRae,16900365,https://www.last.fm/music/Tate+McRae/_/Sports+car
All I Need,Radiohead,36094818,https://www.last.fm/music/Radiohead/_/All+I+Need
Sparks,Coldplay,33185968,https://www.last.fm/music/Coldplay/_/Sparks
From the Start,Laufey,23519554,https://www.last.fm/music/Laufey/_/From+the+Start
Fame Is a Gun,Addison Rae,10377634,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
Apocalypse,Cigarettes After Sex,37661136,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
12 to 12,sombr,4740369,https://www.last.fm/music/sombr/_/12+to+12
The Chain - 2004 Remaster,Fleetwood Mac,19113123,https://www.last.fm/music/Fleetwood+Mac/_/The+Chain+-+2004+Remaster
Espresso,Sabrina Carpenter,50741887,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso
Borderline,Tame Impala,25483272,https://www.last.fm/music/Tame+Impala/_/Borderline
Diet Pepsi,Addison Rae,19782901,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi
Abracadabra,Lady Gaga,22500331,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
Pink + White,Frank Ocean,54944501,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
party 4 u,Charli xcx,16770184,https://www.last.fm/music/Charli+xcx/_/party+4+u
Juno,Sabrina Carpenter,22051322,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Like Him (feat. Lola Young),"Tyler, The Creator",18888633,"https://www.last.fm/music/Tyler,+The+Creator/_/Like+Him+(feat.+Lola+Young)"
Flashing Lights,Kanye West,32963001,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
SLOW DANCING IN THE DARK,Joji,33107018,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK
we can't be friends (wait for your love),Ariana Grande,31224273,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love)
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,26764613,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
Thriller,Michael Jackson,12686494,https://www.last.fm/music/Michael+Jackson/_/Thriller
Guess featuring billie eilish,Charli xcx,26649590,https://www.last.fm/music/Charli+xcx/_/Guess+featuring+billie+eilish
Love Me Not,Ravyn Lenae,13443653,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
Promiscuous,Nelly Furtado,19615799,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous
Fade Into You,Mazzy Star,29842912,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Toxic,Britney Spears,27914631,https://www.last.fm/music/Britney+Spears/_/Toxic
Wood,Taylor Swift,5072788,https://www.last.fm/music/Taylor+Swift/_/Wood
Actually Romantic,Taylor Swift,5122800,https://www.last.fm/music/Taylor+Swift/_/Actually+Romantic
Taste,Sabrina Carpenter,27923520,https://www.last.fm/music/Sabrina+Carpenter/_/Taste
WILDFLOWER,Billie Eilish,31066801,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER
"One of the Girls (with JENNIE, Lily Rose Depp)",The Weeknd,24068499,"https://www.last.fm/music/The+Weeknd/_/One+of+the+Girls+(with+JENNIE,+Lily+Rose+Depp)"
Just Dance,Lady Gaga,25632493,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
Sextape,Deftones,24546055,https://www.last.fm/music/Deftones/_/Sextape
Into You,Ariana Grande,23224361,https://www.last.fm/music/Ariana+Grande/_/Into+You
All I Wanted,Paramore,20339297,https://www.last.fm/music/Paramore/_/All+I+Wanted
Jealous Type,Doja Cat,5672456,https://www.last.fm/music/Doja+Cat/_/Jealous+Type
Bring Me to Life,Evanescence,27056169,https://www.last.fm/music/Evanescence/_/Bring+Me+to+Life
Every Breath You Take,The Police,22347685,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
Wi$h Li$t,Taylor Swift,4725572,https://www.last.fm/music/Taylor+Swift/_/Wi$h+Li$t
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,4383395,https://www.last.fm/music/Taylor+Swift/_/The+Life+of+a+Showgirl+(feat.+Sabrina+Carpenter)
ARE WE STILL FRIENDS?,"Tyler, The Creator",28775090,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F"
Back to the Old House - 2011 Remaster,The Smiths,19244435,https://www.last.fm/music/The+Smiths/_/Back+to+the+Old+House+-+2011+Remaster
My Man on Willpower,Sabrina Carpenter,5433921,https://www.last.fm/music/Sabrina+Carpenter/_/My+Man+on+Willpower
Mr. Brightside,The Killers,46365851,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Linger,The Cranberries,29186663,https://www.last.fm/music/The+Cranberries/_/Linger
In the End,Linkin Park,36286029,https://www.last.fm/music/Linkin+Park/_/In+the+End
TIT FOR TAT,Tate McRae,3640852,https://www.last.fm/music/Tate+McRae/_/TIT+FOR+TAT
LES,Childish Gambino,22311961,https://www.last.fm/music/Childish+Gambino/_/LES
"New Person, Same Old Mistakes",Tame Impala,20976756,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes"
Headlock,Imogen Heap,22202525,https://www.last.fm/music/Imogen+Heap/_/Headlock
Ruin the Friendship,Taylor Swift,4750001,https://www.last.fm/music/Taylor+Swift/_/Ruin+the+Friendship
Poker Face,Lady Gaga,38826162,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
My Own Summer (Shove It),Deftones,24048681,https://www.last.fm/music/Deftones/_/My+Own+Summer+(Shove+It)
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,21975731,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
Still Into You,Paramore,24113578,https://www.last.fm/music/Paramore/_/Still+Into+You
Eyes Without a Face,Billy Idol,14724848,https://www.last.fm/music/Billy+Idol/_/Eyes+Without+a+Face
Gimme More,Britney Spears,22910743,https://www.last.fm/music/Britney+Spears/_/Gimme+More
