Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Luther,Kendrick Lamar & SZA,1,1,25
2,Ordinary,Alex Warren,2,2,14
3,Die With A Smile,Lady Gaga & Bruno Mars,3,1,39
4,A Bar Song (Tipsy),Shaboozey,4,1,57
5,Nokia,Drake,5,2,13
6,I'm The Problem,Morgan Wallen,10,2,15
7,Lose Control,Teddy Swims,7,1,91
8,Beautiful Things,Benson Boone,8,2,68
9,Pink Pony Club,Chappell Roan,6,4,48
10,Anxiety,Doechii,9,9,10
11,Just In Case,Morgan Wallen,17,4,8
12,Birds Of A Feather,Billie Eilish,11,2,52
13,I Had Some Help,Post Malone Featuring Morgan Wallen,14,1,53
14,Timeless,The Weeknd & Playboi Carti,37,3,33
15,Blue Strips,Jessie Murph,15,15,5
16,Superman,Morgan Wallen,-,16,1
17,Mutt,Leon Thomas,13,13,15
18,Love Somebody,Morgan Wallen,16,1,30
19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,12,4,6
20,Messy,Lola Young,18,14,24
21,Espresso,Sabrina Carpenter,19,3,57
22,APT.,ROSE & Bruno Mars,20,3,30
23,Not Like Us,Kendrick Lamar,22,1,53
24,30 For 30,SZA With Kendrick Lamar,23,10,21
25,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,29,8,4
26,That's So True,Gracie Abrams,21,6,30
27,Stargazing,Myles Smith,26,19,52
28,Burning Blue,Mariah The Scientist,25,25,2
29,Worst Way,Riley Green,33,29,18
30,Sorry I'm Here For Someone Else,Benson Boone,32,30,11
31,I Never Lie,Zach Top,24,24,34
32,No One Noticed,The Marias,28,22,33
33,Sports Car,Tate McRae,34,16,16
34,TV Off,Kendrick Lamar Featuring Lefty Gunplay,27,2,25
35,Weren't For The Wind,Ella Langley,40,35,15
36,Abracadabra,Lady Gaga,31,13,15
37,Undressed,sombr,44,37,6
38,Squabble Up,Kendrick Lamar,35,1,25
39,Am I Okay?,Megan Moroney,53,39,36
40,Taste,Sabrina Carpenter,38,2,38
41,Bad Dreams,Teddy Swims,30,30,24
42,Mystical Magical,Benson Boone,45,40,3
43,Love Me Not,Ravyn Lenae,41,41,7
44,Wildflower,Billie Eilish,42,17,48
45,Back To Friends,sombr,47,45,7
46,Cry For Me,The Weeknd,46,12,15
47,Sailor Song,Gigi Perez,43,22,39
48,Good News,Shaboozey,39,34,25
49,Dark Thoughts,Lil Tecca,48,28,9
50,Backup Plan,Bailey Zimmerman & Luke Combs,36,36,2
51,DTMF,Bad Bunny,54,2,19
52,I'm A Little Crazy,Morgan Wallen,56,17,8
53,Indigo,Sam Barber Featuring Avery Anna,51,40,23
54,Azizam,Ed Sheeran,49,28,6
55,Happen To Me,Russell Dickerson,58,55,4
56,Dangerous,Sleep Token,-,56,1
57,Caramel,Sleep Token,-,34,5
58,Emergence,Sleep Token,-,57,4
59,Somebody Loves Me,PARTYNEXTDOOR & Drake,57,30,13
60,Party 4 U,Charli xcx,55,55,4
61,Even In Arcadia,Sleep Token,-,61,1
62,After All The Bars Are Closed,Thomas Rhett,62,62,3
63,Your Way's Better,Forrest Frank,61,61,4
64,Amen,Shaboozey & Jelly Roll,78,64,3
65,Me Jalo,Fuerza Regida & Grupo Frontera,59,48,13
66,Look To Windward,Sleep Token,-,66,1
67,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,50,40,13
68,Smile,Morgan Wallen,75,4,20
69,Peekaboo,Kendrick Lamar Featuring AzChike,63,13,25
70,Past Self,Sleep Token,-,70,1
71,Revolving Door,Tate McRae,65,22,12
72,Damocles,Sleep Token,-,47,2
73,Baile Inolvidable,Bad Bunny,66,3,19
74,Marlboro Rojo,Fuerza Regida,-,74,1
75,Gethsemane,Sleep Token,-,75,1
76,Rather Lie,Playboi Carti & The Weeknd,68,4,9
77,Provider,Sleep Token,-,77,1
78,Backseat Driver,Kane Brown,67,67,10
79,Twilight Zone,Ariana Grande,69,18,7
80,Por Esos Ojos,Fuerza Regida,64,64,8
81,What Was That,Lorde,60,36,3
82,EOO,Bad Bunny,80,24,17
83,House Again,Hudson Westbrook,74,72,4
84,Whiskey Drink,Jason Aldean,83,83,5
85,Busy Woman,Sabrina Carpenter,86,27,13
86,You Had To Be There,Megan Moroney & Kenny Chesney,-,86,1
87,Hands Of Time,Eric Church,70,70,3
88,Feel It,d4vd,82,75,10
89,Whim Whamiee,PLUTO & YKNIECE,81,81,4
90,The Largest,BigXthaPlug,87,71,17
91,Nope Your Too Late I Already Died,wifiskeleton & i wanna be a jack-o-lantern,-,91,1
92,Fix What You Didn't Break,Nate Smith,90,64,8
93,Texas,Blake Shelton,72,61,9
94,Thought It Was Love,Ty Myers,79,79,2
95,Loco,Neton Vega,85,43,20
96,Are You Even Real,Teddy Swims & GIVEON,84,59,14
97,Denial Is A River,Doechii,73,21,19
98,Money On Money,Young Thug Featuring Future,71,39,3
99,Ribs,Lorde,-,99,2
100,Infinite Baths,Sleep Token,-,100,1
