Title,Artist,Playcount,URL
NICOLE KIDMAN,ADÉLA,1306036,https://www.last.fm/music/AD%C3%89LA/_/NICOLE+KIDMAN
Ain't In LA,ADÉLA,2938966,https://www.last.fm/music/AD%C3%89LA/_/Ain%27t+In+LA
the cure,Olivia Rodrigo,14685121,https://www.last.fm/music/Olivia+Rodrigo/_/the+cure
Earrings,Malcolm Todd,16303913,https://www.last.fm/music/Malcolm+Todd/_/Earrings
stupid song,Olivia Rodrigo,10948916,https://www.last.fm/music/Olivia+Rodrigo/_/stupid+song
Stateside + Zara Larsson,PinkPantheress,25746275,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
hate that i made you love me,Ariana Grande,14562141,https://www.last.fm/music/Ariana+Grande/_/hate+that+i+made+you+love+me
expectations,Olivia Rodrigo,7304366,https://www.last.fm/music/Olivia+Rodrigo/_/expectations
drop dead,Olivia Rodrigo,17355009,https://www.last.fm/music/Olivia+Rodrigo/_/drop+dead
maggots for brains,Olivia Rodrigo,7970587,https://www.last.fm/music/Olivia+Rodrigo/_/maggots+for+brains
Oh Yeah?,Steve Lacy,1324722,https://www.last.fm/music/Steve+Lacy/_/Oh+Yeah%3F
CRANK 2,Slayyyter,455479,https://www.last.fm/music/Slayyyter/_/CRANK+2
Creep,Radiohead,63584166,https://www.last.fm/music/Radiohead/_/Creep
KGB,ADÉLA,3469889,https://www.last.fm/music/AD%C3%89LA/_/KGB
Loser,Tame Impala,4885874,https://www.last.fm/music/Tame+Impala/_/Loser
505,Arctic Monkeys,60991949,https://www.last.fm/music/Arctic+Monkeys/_/505
Lovers Rock,TV Girl,52972172,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
BRAND NEW CHANEL$,Slayyyter,2112598,https://www.last.fm/music/Slayyyter/_/BRAND+NEW+CHANEL$
Duvet,bôa,43450128,https://www.last.fm/music/b%C3%B4a/_/Duvet
Fame Is a Gun,Addison Rae,23987277,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
D>E>A>T>H>M>E>T>A>L,Panchiko,16718049,https://www.last.fm/music/Panchiko/_/D%3EE%3EA%3ET%3EH%3EM%3EE%3ET%3EA%3EL
Girl Like Me,PinkPantheress,12570647,https://www.last.fm/music/PinkPantheress/_/Girl+Like+Me
Petal,Ariana Grande,2455746,https://www.last.fm/music/Ariana+Grande/_/Petal
my way,Olivia Rodrigo,6992846,https://www.last.fm/music/Olivia+Rodrigo/_/my+way
Let Down,Radiohead,43607624,https://www.last.fm/music/Radiohead/_/Let+Down
u + me = <3,Olivia Rodrigo,6462304,https://www.last.fm/music/Olivia+Rodrigo/_/u+%252B+me+=+%3C3
Sweater Weather,The Neighbourhood,52551190,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Midnight Sun,Zara Larsson,15527344,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
The Less I Know the Better,Tame Impala,51405895,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
honeybee,Olivia Rodrigo,7444126,https://www.last.fm/music/Olivia+Rodrigo/_/honeybee
No One Noticed,The Marías,36446853,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
"Good Luck, Babe!",Chappell Roan,62516008,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
Boys,ADÉLA,473930,https://www.last.fm/music/AD%C3%89LA/_/Boys
Bags,Clairo,37466031,https://www.last.fm/music/Clairo/_/Bags
CRANK,Slayyyter,7475268,https://www.last.fm/music/Slayyyter/_/CRANK
SaWaDiKa,Lisa,993447,https://www.last.fm/music/Lisa/_/SaWaDiKa
Sienna,The Marías,23295687,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
When the Sun Hits,Slowdive,28661616,https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits
Bass Persuades,Miley Cyrus,542277,https://www.last.fm/music/Miley+Cyrus/_/Bass+Persuades
Mr. Brightside,The Killers,54026467,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Babydoll,Dominic Fike,29202777,https://www.last.fm/music/Dominic+Fike/_/Babydoll
purple,Olivia Rodrigo,5333761,https://www.last.fm/music/Olivia+Rodrigo/_/purple
HOOTIE FRUTTI,KATSEYE,1326189,https://www.last.fm/music/KATSEYE/_/HOOTIE+FRUTTI
I'M THE MAN,ADÉLA,435622,https://www.last.fm/music/AD%C3%89LA/_/I%27M+THE+MAN
"Lover, You Should've Come Over",Jeff Buckley,34821083,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
SLOW DANCING IN THE DARK,Joji,40182350,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK
Sweet Boy,Malcolm Todd,12786705,https://www.last.fm/music/Malcolm+Todd/_/Sweet+Boy
See You Again (feat. Kali Uchis),"Tyler, The Creator",60306335,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
All I Need,Radiohead,43824173,https://www.last.fm/music/Radiohead/_/All+I+Need
Red Bottoms,ADÉLA,1534859,https://www.last.fm/music/AD%C3%89LA/_/Red+Bottoms
BEAT UP CHANEL$,Slayyyter,6942839,https://www.last.fm/music/Slayyyter/_/BEAT+UP+CHANEL$
Bring Me to Life,Evanescence,32924558,https://www.last.fm/music/Evanescence/_/Bring+Me+to+Life
No Surprises,Radiohead,57338153,https://www.last.fm/music/Radiohead/_/No+Surprises
Apocalypse,Cigarettes After Sex,45118055,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
what’s wrong with me,Olivia Rodrigo,5998402,https://www.last.fm/music/Olivia+Rodrigo/_/what%E2%80%99s+wrong+with+me
Roommates,Malcolm Todd,12876642,https://www.last.fm/music/Malcolm+Todd/_/Roommates
Camera,Charli xcx,1739689,https://www.last.fm/music/Charli+xcx/_/Camera
Everlong,Foo Fighters,48711319,https://www.last.fm/music/Foo+Fighters/_/Everlong
Do I Wanna Know?,Arctic Monkeys,46888851,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F
Animal,KATSEYE,1574875,https://www.last.fm/music/KATSEYE/_/Animal
Into You,Ariana Grande,29657695,https://www.last.fm/music/Ariana+Grande/_/Into+You
LES,Childish Gambino,29540665,https://www.last.fm/music/Childish+Gambino/_/LES
Superscar,ADÉLA,6379025,https://www.last.fm/music/AD%C3%89LA/_/Superscar
DANCE...,Slayyyter,5831711,https://www.last.fm/music/Slayyyter/_/DANCE...
All I Wanted,Paramore,26230242,https://www.last.fm/music/Paramore/_/All+I+Wanted
back to friends,sombr,27728428,https://www.last.fm/music/sombr/_/back+to+friends
Iris,The Goo Goo Dolls,33785076,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
Casual,Chappell Roan,32822767,https://www.last.fm/music/Chappell+Roan/_/Casual
Lemonade,aespa,5067136,https://www.last.fm/music/aespa/_/Lemonade
Still Into You,Paramore,29658898,https://www.last.fm/music/Paramore/_/Still+Into+You
Flashing Lights,Kanye West,39460444,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
the perfect pair,beabadoobee,32418818,https://www.last.fm/music/beabadoobee/_/the+perfect+pair
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,27353796,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
The One That Got Away,Katy Perry,23340816,https://www.last.fm/music/Katy+Perry/_/The+One+That+Got+Away
Headlock,Imogen Heap,28406034,https://www.last.fm/music/Imogen+Heap/_/Headlock
ICONIC BY MISTAKE,LE SSERAFIM,4173346,https://www.last.fm/music/LE+SSERAFIM/_/ICONIC+BY+MISTAKE
less,Olivia Rodrigo,5503014,https://www.last.fm/music/Olivia+Rodrigo/_/less
cigarette smoke,Olivia Rodrigo,5076063,https://www.last.fm/music/Olivia+Rodrigo/_/cigarette+smoke
Bad Habit,Steve Lacy,36306856,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit
Sofia,Clairo,29006106,https://www.last.fm/music/Clairo/_/Sofia
Jigsaw Falling Into Place,Radiohead,43301080,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place
Pink + White,Frank Ocean,61592061,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
Love Me Not,Ravyn Lenae,20485227,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
The Only Exception,Paramore,26406069,https://www.last.fm/music/Paramore/_/The+Only+Exception
Good Looking,Suki Waterhouse,23976281,https://www.last.fm/music/Suki+Waterhouse/_/Good+Looking
In My Room,Julia Wolf,12926803,https://www.last.fm/music/Julia+Wolf/_/In+My+Room
Eyes Without a Face,Billy Idol,19947868,https://www.last.fm/music/Billy+Idol/_/Eyes+Without+a+Face
Fade Into You,Mazzy Star,35663806,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Sparks,Coldplay,40575818,https://www.last.fm/music/Coldplay/_/Sparks
Feel Good Inc.,Gorillaz,41974323,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
End of Beginning,Djo,37153523,https://www.last.fm/music/Djo/_/End+of+Beginning
begged,Olivia Rodrigo,5514978,https://www.last.fm/music/Olivia+Rodrigo/_/begged
Training Season,Dua Lipa,13051301,https://www.last.fm/music/Dua+Lipa/_/Training+Season
In the End,Linkin Park,41521988,https://www.last.fm/music/Linkin+Park/_/In+the+End
Manchild,Sabrina Carpenter,28637364,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Linger - Remastered 2026,The Cranberries,1219479,https://www.last.fm/music/The+Cranberries/_/Linger+-+Remastered+2026
Sun Has Set,beabadoobee,1633942,https://www.last.fm/music/beabadoobee/_/Sun+Has+Set
I Wanna Be Yours,Arctic Monkeys,44202730,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours
From the Start,Laufey,30059657,https://www.last.fm/music/Laufey/_/From+the+Start
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,32527972,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
