Title,Artist,Playcount,URL
End of Beginning,Djo,29454051,https://www.last.fm/music/Djo/_/End+of+Beginning
The Fate of Ophelia,Taylor Swift,19469652,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
Fame Is a Gun,Addison Rae,13960901,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
WHERE IS MY HUSBAND!,RAYE,6724613,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
I Thought I Saw Your Face Today,She & Him,4584064,https://www.last.fm/music/She+&+Him/_/I+Thought+I+Saw+Your+Face+Today
back to friends,sombr,20180680,https://www.last.fm/music/sombr/_/back+to+friends
Lush Life,Zara Larsson,10788947,https://www.last.fm/music/Zara+Larsson/_/Lush+Life
4 Raws,EsDeeKid,5559289,https://www.last.fm/music/EsDeeKid/_/4+Raws
Stateside + Zara Larsson,PinkPantheress,4021706,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
Every Breath You Take,The Police,24448964,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
Punk Rocky,A$AP Rocky,667638,https://www.last.fm/music/A$AP+Rocky/_/Punk+Rocky
Creep,Radiohead,56374721,https://www.last.fm/music/Radiohead/_/Creep
The Less I Know the Better,Tame Impala,44834731,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
No One Noticed,The Marías,29239162,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
"Good Luck, Babe!",Chappell Roan,56182429,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
Midnight Sun,Zara Larsson,6384769,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
Internet Girl,KATSEYE,1337352,https://www.last.fm/music/KATSEYE/_/Internet+Girl
Sienna,The Marías,16338878,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
Manchild,Sabrina Carpenter,19284276,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
So Easy (To Fall In Love),Olivia Dean,4672246,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
Gabriela,KATSEYE,14883368,https://www.last.fm/music/KATSEYE/_/Gabriela
"Lover, You Should've Come Over",Jeff Buckley,27791185,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
Let Down,Radiohead,36653736,https://www.last.fm/music/Radiohead/_/Let+Down
Man I Need,Olivia Dean,5805788,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
Tears,Sabrina Carpenter,12386894,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
505,Arctic Monkeys,54482800,https://www.last.fm/music/Arctic+Monkeys/_/505
I Just Might,Bruno Mars,435207,https://www.last.fm/music/Bruno+Mars/_/I+Just+Might
BIRDS OF A FEATHER,Billie Eilish,52396742,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Feel Good Inc.,Gorillaz,37270153,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Lovers Rock,TV Girl,47137942,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Sweater Weather,The Neighbourhood,47157817,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Duvet,bôa,38036497,https://www.last.fm/music/b%C3%B4a/_/Duvet
Iris,The Goo Goo Dolls,28443629,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
Purple Rain,Prince,6295724,https://www.last.fm/music/Prince/_/Purple+Rain
Dreams - 2004 Remaster,Fleetwood Mac,25840646,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
Sports car,Tate McRae,19297563,https://www.last.fm/music/Tate+McRae/_/Sports+car
NOT CUTE ANYMORE,ILLIT,4241083,https://www.last.fm/music/ILLIT/_/NOT+CUTE+ANYMORE
Everybody Wants to Rule the World,Tears for Fears,30074747,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World
Dracula,Tame Impala,6376582,https://www.last.fm/music/Tame+Impala/_/Dracula
Gnarly,KATSEYE,18318162,https://www.last.fm/music/KATSEYE/_/Gnarly
Phantom,EsDeeKid,5784658,https://www.last.fm/music/EsDeeKid/_/Phantom
No Pole,Don Toliver,15306050,https://www.last.fm/music/Don+Toliver/_/No+Pole
Mr. Brightside,The Killers,47976359,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Espresso,Sabrina Carpenter,52517307,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso
When Did You Get Hot?,Sabrina Carpenter,9821652,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
SPAGHETTI,LE SSERAFIM,32999142,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI
Golden,HUNTR/X,14844819,https://www.last.fm/music/HUNTR%2FX/_/Golden
House Tour,Sabrina Carpenter,9099070,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
No Surprises,Radiohead,52141933,https://www.last.fm/music/Radiohead/_/No+Surprises
All I Need,Radiohead,38373474,https://www.last.fm/music/Radiohead/_/All+I+Need
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,28339834,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
The Chain - 2004 Remaster,Fleetwood Mac,20555408,https://www.last.fm/music/Fleetwood+Mac/_/The+Chain+-+2004+Remaster
Running Up That Hill (A Deal with God),Kate Bush,19112081,https://www.last.fm/music/Kate+Bush/_/Running+Up+That+Hill+(A+Deal+with+God)
Timeless (Feat Playboi Carti),The Weeknd,11911609,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Flashing Lights,Kanye West,34468971,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
The Subway,Chappell Roan,14566744,https://www.last.fm/music/Chappell+Roan/_/The+Subway
LES,Childish Gambino,24154100,https://www.last.fm/music/Childish+Gambino/_/LES
Headlock,Imogen Heap,23855579,https://www.last.fm/music/Imogen+Heap/_/Headlock
Pink + White,Frank Ocean,56601554,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
Into You,Ariana Grande,24676853,https://www.last.fm/music/Ariana+Grande/_/Into+You
Sparks,Coldplay,35407792,https://www.last.fm/music/Coldplay/_/Sparks
Linger,The Cranberries,30659324,https://www.last.fm/music/The+Cranberries/_/Linger
Sailor Song,Gigi Perez,25086698,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
12 to 12,sombr,6627989,https://www.last.fm/music/sombr/_/12+to+12
Eyes Without a Face,Billy Idol,16146791,https://www.last.fm/music/Billy+Idol/_/Eyes+Without+a+Face
Fade Into You,Mazzy Star,31395501,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Apocalypse,Cigarettes After Sex,39621279,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
Love Me Not,Ravyn Lenae,15197342,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
Nobody’s Son,Sabrina Carpenter,8916978,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
Opalite,Taylor Swift,10731499,https://www.last.fm/music/Taylor+Swift/_/Opalite
Borderline,Tame Impala,27060963,https://www.last.fm/music/Tame+Impala/_/Borderline
See You Again (feat. Kali Uchis),"Tyler, The Creator",54119068,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
"""Heroes"" - 2017 Remaster",David Bowie,537755,https://www.last.fm/music/David+Bowie/_/%22Heroes%22+-+2017+Remaster
