Title,Artist,Playcount,URL
The Fate of Ophelia,Taylor Swift,15384115,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
WHERE IS MY HUSBAND!,RAYE,4839213,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
back to friends,sombr,18357924,https://www.last.fm/music/sombr/_/back+to+friends
Creep,Radiohead,54782702,https://www.last.fm/music/Radiohead/_/Creep
Last Christmas,Wham!,14125067,https://www.last.fm/music/Wham%21/_/Last+Christmas
Tears,Sabrina Carpenter,10603420,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
Sienna,The Marías,14556072,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
The Less I Know the Better,Tame Impala,43461995,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Manchild,Sabrina Carpenter,17350359,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Dracula,Tame Impala,4744473,https://www.last.fm/music/Tame+Impala/_/Dracula
Let Down,Radiohead,34963954,https://www.last.fm/music/Radiohead/_/Let+Down
End of Beginning,Djo,26754533,https://www.last.fm/music/Djo/_/End+of+Beginning
No One Noticed,The Marías,27508211,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
Gabriela,KATSEYE,13327905,https://www.last.fm/music/KATSEYE/_/Gabriela
So Easy (To Fall In Love),Olivia Dean,3037272,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
"Good Luck, Babe!",Chappell Roan,54826808,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
Man I Need,Olivia Dean,4306916,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
BIRDS OF A FEATHER,Billie Eilish,51178861,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
All I Want for Christmas Is You,Mariah Carey,18993855,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You
505,Arctic Monkeys,53225897,https://www.last.fm/music/Arctic+Monkeys/_/505
Sweater Weather,The Neighbourhood,46102459,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
No Surprises,Radiohead,50914754,https://www.last.fm/music/Radiohead/_/No+Surprises
