Title,Artist,Playcount,URL
The Fate of Ophelia,Taylor Swift,11074851,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
BERGHAIN,ROSALÍA,1501753,https://www.last.fm/music/ROSAL%C3%8DA/_/BERGHAIN
Tears,Sabrina Carpenter,8744952,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
Dracula,Tame Impala,2844487,https://www.last.fm/music/Tame+Impala/_/Dracula
back to friends,sombr,16804773,https://www.last.fm/music/sombr/_/back+to+friends
Opalite,Taylor Swift,6917446,https://www.last.fm/music/Taylor+Swift/_/Opalite
Manchild,Sabrina Carpenter,15756009,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Gabriela,KATSEYE,11785436,https://www.last.fm/music/KATSEYE/_/Gabriela
When Did You Get Hot?,Sabrina Carpenter,7081734,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
Creep,Radiohead,53403236,https://www.last.fm/music/Radiohead/_/Creep
Sienna,The Marías,12849970,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
SUGAR ON MY TONGUE,"Tyler, The Creator",8678384,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE"
Golden,HUNTR/X,12028571,https://www.last.fm/music/HUNTR%2FX/_/Golden
No One Noticed,The Marías,26067072,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
The Less I Know the Better,Tame Impala,42365208,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
SPAGHETTI,LE SSERAFIM,6024326,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI
"Good Luck, Babe!",Chappell Roan,53753960,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
WHERE IS MY HUSBAND!,RAYE,3125741,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
Let Down,Radiohead,33378678,https://www.last.fm/music/Radiohead/_/Let+Down
House Tour,Sabrina Carpenter,6242987,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
The Subway,Chappell Roan,12147347,https://www.last.fm/music/Chappell+Roan/_/The+Subway
Gnarly,KATSEYE,15784686,https://www.last.fm/music/KATSEYE/_/Gnarly
Feel Good Inc.,Gorillaz,35257127,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Nobody’s Son,Sabrina Carpenter,6180965,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
BIRDS OF A FEATHER,Billie Eilish,50140570,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Sweater Weather,The Neighbourhood,45096737,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Elizabeth Taylor,Taylor Swift,6042817,https://www.last.fm/music/Taylor+Swift/_/Elizabeth+Taylor
Sports car,Tate McRae,16803140,https://www.last.fm/music/Tate+McRae/_/Sports+car
Father Figure,Taylor Swift,6009555,https://www.last.fm/music/Taylor+Swift/_/Father+Figure
