Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Luther,Kendrick Lamar & SZA,1,1,23
2,Ordinary,Alex Warren,3,2,12
3,Die With A Smile,Lady Gaga & Bruno Mars,2,1,37
4,Nokia,Drake,4,2,11
5,A Bar Song (Tipsy),Shaboozey,5,1,55
6,Pink Pony Club,Chappell Roan,6,4,46
7,Lose Control,Teddy Swims,9,1,89
8,I'm The Problem,Morgan Wallen,7,2,13
9,Beautiful Things,Benson Boone,10,2,66
10,Anxiety,Doechii,12,10,8
11,All The Way,BigXthaPlug Featuring Bailey Zimmerman,11,4,4
12,Birds Of A Feather,Billie Eilish,13,2,50
13,Just In Case,Morgan Wallen,14,4,6
14,I Had Some Help,Post Malone Featuring Morgan Wallen,15,1,51
15,Mutt,Leon Thomas,18,15,13
16,That's So True,Gracie Abrams,20,6,28
17,Love Somebody,Morgan Wallen,17,1,28
18,Blue Strips,Jessie Murph,35,18,3
19,Espresso,Sabrina Carpenter,19,3,55
20,APT.,ROSE & Bruno Mars,16,3,28
21,Messy,Lola Young,22,14,22
22,Not Like Us,Kendrick Lamar,21,1,51
23,30 For 30,SZA With Kendrick Lamar,24,10,19
24,TV Off,Kendrick Lamar Featuring Lefty Gunplay,23,2,23
25,I Ain't Coming Back,Morgan Wallen & Post Malone,8,8,2
26,No One Noticed,The Marias,29,22,31
27,I Never Lie,Zach Top,31,27,32
28,Squabble Up,Kendrick Lamar,27,1,23
29,Stargazing,Myles Smith,28,19,50
30,Taste,Sabrina Carpenter,33,2,36
31,Bad Dreams,Teddy Swims,30,30,22
32,Sports Car,Tate McRae,25,16,14
33,Sorry I'm Here For Someone Else,Benson Boone,34,33,9
34,Abracadabra,Lady Gaga,26,13,13
35,Timeless,The Weeknd & Playboi Carti,32,3,31
36,What Was That,Lorde,-,36,1
37,Worst Way,Riley Green,36,36,16
38,Good News,Shaboozey,37,34,23
39,Money On Money,Young Thug Featuring Future,-,39,1
40,Mystical Magical,Benson Boone,-,40,1
41,Weren't For The Wind,Ella Langley,39,39,13
42,Sailor Song,Gigi Perez,38,22,37
43,Wildflower,Billie Eilish,43,17,46
44,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,40,40,11
45,Cry For Me,The Weeknd,44,12,13
46,Dark Thoughts,Lil Tecca,45,28,7
47,Damocles,Sleep Token,-,47,1
48,Indigo,Sam Barber Featuring Avery Anna,49,40,21
49,Azizam,Ed Sheeran,42,28,4
50,Back To Friends,sombr,51,50,5
51,Residuals,Chris Brown,46,40,34
52,DTMF,Bad Bunny,48,2,17
53,Love Me Not,Ravyn Lenae,53,53,5
54,Am I Okay?,Megan Moroney,50,50,34
55,I'm A Little Crazy,Morgan Wallen,41,17,6
56,Undressed,sombr,57,56,4
57,Party 4 U,Charli xcx,95,57,2
58,Me Jalo,Fuerza Regida & Grupo Frontera,52,48,11
59,Somebody Loves Me,PARTYNEXTDOOR & Drake,56,30,11
60,Denial Is A River,Doechii,47,21,17
61,Texas,Blake Shelton,70,61,7
62,Your Way's Better,Forrest Frank,72,62,2
63,After All The Bars Are Closed,Thomas Rhett,-,63,1
64,Peekaboo,Kendrick Lamar Featuring AzChike,62,13,23
65,Revolving Door,Tate McRae,58,22,10
66,Twilight Zone,Ariana Grande,55,18,5
67,Fix What You Didn't Break,Nate Smith,64,64,6
68,Baile Inolvidable,Bad Bunny,59,3,17
69,Smile,Morgan Wallen,54,4,18
70,Rather Lie,Playboi Carti & The Weeknd,60,4,7
71,Happen To Me,Russell Dickerson,71,71,2
72,House Again,Hudson Westbrook,98,72,2
73,Holy Smokes,Bailey Zimmerman,65,54,15
74,Backseat Driver,Kane Brown,73,73,8
75,Feel It,d4vd,81,75,8
76,Te Queria Ver,Aleman X Neton Vega,67,58,7
77,Amen,Shaboozey & Jelly Roll,-,77,1
78,Loco,Neton Vega,69,43,18
79,My World,Chuckyy,-,79,1
80,The Giver,Chappell Roan,61,5,7
81,EOO,Bad Bunny,77,24,15
82,BMF,SZA,63,29,19
83,Are You Even Real,Teddy Swims & GIVEON,75,59,12
84,Busy Woman,Sabrina Carpenter,74,27,11
85,Whim Whamiee,PLUTO & YKNIECE,92,85,2
86,The Largest,BigXthaPlug,79,71,15
87,No Pole,Don Toliver,80,66,26
88,Steve's Lava Chicken,Jack Black,78,78,2
89,Like Him,"Tyler, The Creator Featuring Lola Young",83,29,27
90,Morena,Neton Vega & Peso Pluma,84,83,5
91,Whiskey Drink,Jason Aldean,89,89,3
92,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",82,21,11
93,End Of The World,Miley Cyrus,88,52,4
94,Friends Like That,John Morgan Featuring Jason Aldean,68,57,6
95,Haunted,Kane Brown With Jelly Roll,85,58,7
96,Caramel,Sleep Token,100,34,4
97,"3,2,1",Tucker Wetmore,-,97,1
98,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,66,65,6
99,Ribs,Lorde,-,99,1
100,Gimme A Hug,Drake,86,6,11
