Title,Artist,Playcount,URL
BIRDS OF A FEATHER,Billie Eilish,41958658,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
"Good Luck, Babe!",Chappell Roan,45008563,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
Party 4 U,Charli XCX,9850373,https://www.last.fm/music/Charli+XCX/_/Party+4+U
See You Again (feat. Kali Uchis),"Tyler, the Creator",44143918,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
No One Noticed,The Marías,17171624,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
espresso,Sabrina Carpenter,43714522,https://www.last.fm/music/Sabrina+Carpenter/_/espresso
luther (with SZA),Kendrick Lamar,18014831,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
Abracadabra,Lady Gaga,16170593,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
back to friends,Sombr,5316782,https://www.last.fm/music/Sombr/_/back+to+friends
Creep,Radiohead,43103491,https://www.last.fm/music/Radiohead/_/Creep
guess featuring billie eilish,Charli XCX,21328398,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish
undressed,Sombr,3689389,https://www.last.fm/music/Sombr/_/undressed
Von Dutch,Charli XCX,21689940,https://www.last.fm/music/Charli+XCX/_/Von+Dutch
505,Arctic Monkeys,44037747,https://www.last.fm/music/Arctic+Monkeys/_/505
Die With A Smile,Lady Gaga,23176374,https://www.last.fm/music/Lady+Gaga/_/Die+With+A+Smile
Judas,Lady Gaga,23908672,https://www.last.fm/music/Lady+Gaga/_/Judas
Pink + White,Frank Ocean,48258472,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
Poker Face,Lady Gaga,29552818,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
Like Him (feat. Lola Young),"Tyler, the Creator",14012259,"https://www.last.fm/music/Tyler,+the+Creator/_/Like+Him+(feat.+Lola+Young)"
Ribs,Lorde,26206290,https://www.last.fm/music/Lorde/_/Ribs
Wildflower,Billie Eilish,24694760,https://www.last.fm/music/Billie+Eilish/_/Wildflower
All The Stars (with SZA),Kendrick Lamar,24744835,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA)
GNARLY,Katseye,5257086,https://www.last.fm/music/Katseye/_/GNARLY
Love Me Not,Ravyn Lenae,6732026,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
tAsTe,Sabrina Carpenter,22460963,https://www.last.fm/music/Sabrina+Carpenter/_/tAsTe
Lovers Rock,TV Girl,38087859,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
The Less I Know the Better,Tame Impala,36504165,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Feel Good Inc.,Gorillaz,34138833,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
No Surprises,Radiohead,40911090,https://www.last.fm/music/Radiohead/_/No+Surprises
Duvet,bôa,30463414,https://www.last.fm/music/b%C3%B4a/_/Duvet
What Was That,Lorde,5007082,https://www.last.fm/music/Lorde/_/What+Was+That
Headlock,Imogen Heap,16164877,https://www.last.fm/music/Imogen+Heap/_/Headlock
Pink Pony Club,Chappell Roan,18788510,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club
illegal,pinkpantheress,1849558,https://www.last.fm/music/pinkpantheress/_/illegal
Let Down,Radiohead,22055145,https://www.last.fm/music/Radiohead/_/Let+Down
Timeless (Feat Playboi Carti),The Weeknd,5020653,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
"Girl, so confusing featuring lorde",Charli XCX,9201739,"https://www.last.fm/music/Charli+XCX/_/Girl,+so+confusing+featuring+lorde"
Just Dance,Lady Gaga,22242185,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
Sweater Weather,The Neighbourhood,39236903,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Bad Romance,Lady Gaga,28442039,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
Iris,The Goo Goo Dolls,16843416,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
Are We Still Friends?,"Tyler, the Creator",23812600,"https://www.last.fm/music/Tyler,+the+Creator/_/Are+We+Still+Friends%3F"
360,Charli XCX,26300306,https://www.last.fm/music/Charli+XCX/_/360
Dreams - 2004 Remaster,Fleetwood Mac,19366818,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
Juna,Clairo,13745602,https://www.last.fm/music/Clairo/_/Juna
Bags,Clairo,26049618,https://www.last.fm/music/Clairo/_/Bags
HOT TO GO!,Chappell Roan,25738912,https://www.last.fm/music/Chappell+Roan/_/HOT+TO+GO%21
Please Please Please,Sabrina Carpenter,28018112,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Juno,Sabrina Carpenter,16838317,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Money Trees,Kendrick Lamar,28302247,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees
sports car,Tate McRae,10540919,https://www.last.fm/music/Tate+McRae/_/sports+car
Tonight,pinkpantheress,4350714,https://www.last.fm/music/pinkpantheress/_/Tonight
CHIHIRO,Billie Eilish,23197716,https://www.last.fm/music/Billie+Eilish/_/CHIHIRO
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,17908992,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
like JENNIE,Jennie,8573571,https://www.last.fm/music/Jennie/_/like+JENNIE
Bed Chem,Sabrina Carpenter,18200921,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
Busy Woman,Sabrina Carpenter,7802167,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman
Paparazzi,Lady Gaga,22691341,https://www.last.fm/music/Lady+Gaga/_/Paparazzi
DENIAL IS A RIVER,Doechii,11281679,https://www.last.fm/music/Doechii/_/DENIAL+IS+A+RIVER
All I Need,Radiohead,27525248,https://www.last.fm/music/Radiohead/_/All+I+Need
Sailor Song,Gigi Perez,17525240,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
tv off (feat. Lefty Gunplay),Kendrick Lamar,11453137,https://www.last.fm/music/Kendrick+Lamar/_/tv+off+(feat.+Lefty+Gunplay)
Not Like Us,Kendrick Lamar,24048888,https://www.last.fm/music/Kendrick+Lamar/_/Not+Like+Us
Linger,The Cranberries,24342960,https://www.last.fm/music/The+Cranberries/_/Linger
