Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Luther,Kendrick Lamar & SZA,1,1,22
2,Die With A Smile,Lady Gaga & Bruno Mars,2,1,36
3,Ordinary,Alex Warren,5,3,11
4,Nokia,Drake,3,2,10
5,A Bar Song (Tipsy),Shaboozey,6,1,54
6,Pink Pony Club,Chappell Roan,4,4,45
7,I'm The Problem,Morgan Wallen,10,2,12
8,I Ain't Coming Back,Morgan Wallen & Post Malone,-,8,1
9,Lose Control,Teddy Swims,7,1,88
10,Beautiful Things,Benson Boone,9,2,65
11,All The Way,BigXthaPlug Featuring Bailey Zimmerman,8,4,3
12,Anxiety,Doechii,14,10,7
13,Birds Of A Feather,Billie Eilish,12,2,49
14,Just In Case,Morgan Wallen,11,4,5
15,I Had Some Help,Post Malone Featuring Morgan Wallen,17,1,50
16,APT.,ROSE & Bruno Mars,13,3,27
17,Love Somebody,Morgan Wallen,20,1,27
18,Mutt,Leon Thomas,16,16,12
19,Espresso,Sabrina Carpenter,15,3,54
20,That's So True,Gracie Abrams,18,6,27
21,Not Like Us,Kendrick Lamar,19,1,50
22,Messy,Lola Young,22,14,21
23,TV Off,Kendrick Lamar Featuring Lefty Gunplay,21,2,22
24,30 For 30,SZA With Kendrick Lamar,25,10,18
25,Sports Car,Tate McRae,23,16,13
26,Abracadabra,Lady Gaga,26,13,12
27,Squabble Up,Kendrick Lamar,24,1,22
28,Stargazing,Myles Smith,31,19,49
29,No One Noticed,The Marias,30,22,30
30,Bad Dreams,Teddy Swims,32,30,21
31,I Never Lie,Zach Top,29,29,31
32,Timeless,The Weeknd & Playboi Carti,27,3,30
33,Taste,Sabrina Carpenter,28,2,35
34,Sorry I'm Here For Someone Else,Benson Boone,36,34,8
35,Blue Strips,Jessie Murph,81,35,2
36,Worst Way,Riley Green,38,36,15
37,Good News,Shaboozey,34,34,22
38,Sailor Song,Gigi Perez,35,22,36
39,Weren't For The Wind,Ella Langley,52,39,12
40,Hard Fought Hallelujah,Brandon Lake,63,40,10
41,I'm A Little Crazy,Morgan Wallen,37,17,5
42,Azizam,Ed Sheeran,39,28,3
43,Wildflower,Billie Eilish,44,17,45
44,Cry For Me,The Weeknd,43,12,12
45,Dark Thoughts,Lil Tecca,41,28,6
46,Residuals,Chris Brown,46,40,33
47,Denial Is A River,Doechii,42,21,16
48,DTMF,Bad Bunny,45,2,16
49,Indigo,Sam Barber Featuring Avery Anna,40,40,20
50,Am I Okay?,Megan Moroney,50,50,33
51,Back To Friends,sombr,56,51,4
52,Me Jalo,Fuerza Regida & Grupo Frontera,48,48,10
53,Love Me Not,Ravyn Lenae,70,53,4
54,Smile,Morgan Wallen,59,4,17
55,Twilight Zone,Ariana Grande,47,18,4
56,Somebody Loves Me,PARTYNEXTDOOR & Drake,54,30,10
57,Undressed,sombr,84,57,3
58,Revolving Door,Tate McRae,61,22,9
59,Baile Inolvidable,Bad Bunny,53,3,16
60,Rather Lie,Playboi Carti & The Weeknd,49,4,6
61,The Giver,Chappell Roan,51,5,6
62,Peekaboo,Kendrick Lamar Featuring AzChike,64,13,22
63,BMF,SZA,55,29,18
64,Fix What You Didn't Break,Nate Smith,72,64,5
65,Holy Smokes,Bailey Zimmerman,67,54,14
66,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,65,65,5
67,Te Queria Ver,Aleman X Neton Vega,58,58,6
68,Friends Like That,John Morgan Featuring Jason Aldean,57,57,5
69,Loco,Neton Vega,62,43,17
70,Texas,Blake Shelton,74,70,6
71,Happen To Me,Russell Dickerson,-,71,1
72,Your Way's Better,Forrest Frank,-,72,1
73,Backseat Driver,Kane Brown,86,73,7
74,Busy Woman,Sabrina Carpenter,66,27,10
75,Are You Even Real,Teddy Swims & GIVEON,78,59,11
76,Ojos Tristes,"Selena Gomez, benny blanco & The Marias",60,56,5
77,EOO,Bad Bunny,79,24,14
78,Steve's Lava Chicken,Jack Black,-,78,1
79,The Largest,BigXthaPlug,82,71,14
80,No Pole,Don Toliver,76,66,25
81,Feel It,d4vd,85,81,7
82,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",75,21,10
83,Like Him,"Tyler, The Creator Featuring Lola Young",80,29,26
84,Morena,Neton Vega & Peso Pluma,83,83,4
85,Haunted,Kane Brown With Jelly Roll,91,58,6
86,Gimme A Hug,Drake,71,6,10
87,Headphones On,Addison Rae,-,87,1
88,End Of The World,Miley Cyrus,69,52,3
89,Whiskey Drink,Jason Aldean,98,89,2
90,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",73,46,8
91,Forever To Me,Cole Swindell,-,91,1
92,Whim Whamiee,PLUTO & YKNIECE,-,92,1
93,Chest Pain (I Love),Malcolm Todd,77,68,3
94,Nuevayol,Bad Bunny,89,8,16
95,Party 4 U,Charli xcx,-,95,1
96,Actin Up,Tommy Richman,-,96,1
97,Tattoo,Tito Double P,92,72,8
98,House Again,Hudson Westbrook,-,98,1
99,like JENNIE,JENNIE,96,83,3
100,Caramel,Sleep Token,68,34,3
