Title,Artist,Playcount,URL
DtMF,Bad Bunny,13336203,https://www.last.fm/music/Bad+Bunny/_/DtMF
NUEVAYoL,Bad Bunny,10094539,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL
BAILE INoLVIDABLE,Bad Bunny,10421883,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE
EoO,Bad Bunny,8008824,https://www.last.fm/music/Bad+Bunny/_/EoO
Stateside + Zara Larsson,PinkPantheress,8267377,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
VOY A LLeVARTE PA PR,Bad Bunny,8051268,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR
Tití Me Preguntó,Bad Bunny,10715618,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3
Fame Is a Gun,Addison Rae,16369203,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
End of Beginning,Djo,31761177,https://www.last.fm/music/Djo/_/End+of+Beginning
Manchild,Sabrina Carpenter,21121522,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Midnight Sun,Zara Larsson,8645543,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
WHERE IS MY HUSBAND!,RAYE,8368776,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
VeLDÁ,Bad Bunny,5817006,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81
Opalite,Taylor Swift,12611088,https://www.last.fm/music/Taylor+Swift/_/Opalite
"Good Luck, Babe!",Chappell Roan,57361907,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
No One Noticed,The Marías,30697235,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
The Fate of Ophelia,Taylor Swift,21843464,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
So Easy (To Fall In Love),Olivia Dean,6157977,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
back to friends,sombr,21772424,https://www.last.fm/music/sombr/_/back+to+friends
The Less I Know the Better,Tame Impala,45966090,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Man I Need,Olivia Dean,7284049,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
