Title,Artist,Playcount,URL
"Good Luck, Babe!",Chappell Roan,43863156,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
BIRDS OF A FEATHER,Billie Eilish,40620695,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Abracadabra,Lady Gaga,14641517,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
No One Noticed,The Marías,15835104,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
luther (with SZA),Kendrick Lamar,16954986,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
espresso,Sabrina Carpenter,42790509,https://www.last.fm/music/Sabrina+Carpenter/_/espresso
See You Again (feat. Kali Uchis),"Tyler, the Creator",43265666,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
guess featuring billie eilish,Charli XCX,20396759,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish
Die With A Smile,Lady Gaga,22355795,https://www.last.fm/music/Lady+Gaga/_/Die+With+A+Smile
What Was That,Lorde,3511725,https://www.last.fm/music/Lorde/_/What+Was+That
Von Dutch,Charli XCX,20680298,https://www.last.fm/music/Charli+XCX/_/Von+Dutch
Poker Face,Lady Gaga,28939962,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
tAsTe,Sabrina Carpenter,21685198,https://www.last.fm/music/Sabrina+Carpenter/_/tAsTe
Judas,Lady Gaga,23092134,https://www.last.fm/music/Lady+Gaga/_/Judas
Party 4 U,Charli XCX,7784204,https://www.last.fm/music/Charli+XCX/_/Party+4+U
505,Arctic Monkeys,43206715,https://www.last.fm/music/Arctic+Monkeys/_/505
Pink + White,Frank Ocean,47531285,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
DENIAL IS A RIVER,Doechii,10691433,https://www.last.fm/music/Doechii/_/DENIAL+IS+A+RIVER
Creep,Radiohead,42134109,https://www.last.fm/music/Radiohead/_/Creep
Pink Pony Club,Chappell Roan,18076659,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club
All The Stars (with SZA),Kendrick Lamar,24027872,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA)
Headlock,Imogen Heap,15159897,https://www.last.fm/music/Imogen+Heap/_/Headlock
Wildflower,Billie Eilish,23603551,https://www.last.fm/music/Billie+Eilish/_/Wildflower
Lovers Rock,TV Girl,37351034,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Like Him (feat. Lola Young),"Tyler, the Creator",13127445,"https://www.last.fm/music/Tyler,+the+Creator/_/Like+Him+(feat.+Lola+Young)"
Bad Romance,Lady Gaga,27916362,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
Timeless (Feat Playboi Carti),The Weeknd,4073989,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Juno,Sabrina Carpenter,16057205,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Duvet,bôa,29761901,https://www.last.fm/music/b%C3%B4a/_/Duvet
Please Please Please,Sabrina Carpenter,27384055,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Just Dance,Lady Gaga,21748526,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
The Less I Know the Better,Tame Impala,35896862,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Ribs,Lorde,25308525,https://www.last.fm/music/Lorde/_/Ribs
360,Charli XCX,25641656,https://www.last.fm/music/Charli+XCX/_/360
Bed Chem,Sabrina Carpenter,17509277,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
sports car,Tate McRae,9333294,https://www.last.fm/music/Tate+McRae/_/sports+car
