Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,The Fate Of Ophelia,Taylor Swift,1,1,4
,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Ordinary,Alex Warren,,,
,Opalite,Taylor Swift,,,
,Man I Need,Olivia Dean,,,
,Daisies,Justin Bieber,,,
,Folded,Kehlani,,,
,Elizabeth Taylor,Taylor Swift,,,
,I Got Better,Morgan Wallen,,,
,Mutt,Leon Thomas,,,
,Father Figure,Taylor Swift,,,
,Back To Friends,sombr,,,
,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,,
,Wi$h Li$t,Taylor Swift,,,
,What I Want,Morgan WallenFeaturingTate McRae,,,
,Manchild,Sabrina Carpenter,,,
,Love Me Not,Ravyn Lenae,,,
,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,,
,It Depends,Chris BrownFeaturingBryson Tiller,,,
,Tears,Sabrina Carpenter,,,
,The Life Of A Showgirl,Taylor SwiftFeaturingSabrina Carpenter,,,
,Back In The Saddle,Luke Combs,,,
,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Wood,Taylor Swift,,,
,Actually Romantic,Taylor Swift,,,
,Mystical Magical,Benson Boone,,,
,Tit For Tat,Tate McRae,,,
,Cancelled!,Taylor Swift,,,
,Eldest Daughter,Taylor Swift,,,
,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Ruin The Friendship,Taylor Swift,,,
,Thriller,Michael Jackson,,,
,Honey,Taylor Swift,,,
,Burning Blue,Mariah the Scientist,,,
,Choosin' Texas,Ella Langley,,,
,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Gabriela,KATSEYE,,,
,Lover Girl,Megan Thee Stallion,,,
,Dracula,Tame Impala,,,
,Free,"Rumi, JINU, EJAE & Andrew Choi",,,
,No Broke Boys,Disco Lines &Tinashe,,,
,Happen To Me,Russell Dickerson,,,
,Yukon,Justin Bieber,,,
,So Easy (To Fall In Love),Olivia Dean,,,
,Don't Mind If I Do,Riley GreenFeaturing Ella Langley,,,
,6 Months Later,Megan Moroney,,,
,This Is Halloween,The Citizens of Halloween,,,
,Shot Callin,YoungBoy Never Broke Again,,,
,Somewhere Over Laredo,Lainey Wilson,,,
,Spaghetti,Le Sserafim&J-Hope,,,
,Wildflower,Billie Eilish,,,
,Hell At Night,BigXthaPlug Featuring Ella Langley,,,
,Is It A Crime,Mariah the Scientist&Kali Uchis,,,
,Jealous Type,Doja Cat,,,
,wgft,GunnaFeaturingBurna Boy,,,
,Safe,Cardi BFeaturingKehlani,,,
,Darlin',Chase Matthew,,,
,Sugar On My Tongue,"Tyler, the Creator",,,
,12 To 12,sombr,,,
,House Again,Hudson Westbrook,,,
,The Dead Dance,Lady Gaga,,,
,When Did You Get Hot?,Sabrina Carpenter,,,
,Nice To Meet You,Myles Smith,,,
,Beautiful Things,Megan Moroney,,,
,Last One To Know,Gavin Adcock,,,
,I'm Not There For You,jessie murph,,,
,Better Me For You (Brown Eyes),Max McNown,,,
,Bottle Rockets,Scotty McCreery& Hootie & The Blowfish,,,
,Heart Of Stone,Jelly Roll,,,
,Where Is My Husband!,RAYE,,,
,Take Me Thru Dere,"Metro Boomin,Quavo, Breskii & YK NIECE",,,
,Strategy,Twice,,,
,The Fall,Cody Johnson,,,
,Sparks,Coldplay,,,
,What Kinda Man,Parker McCollum,,,
,Went Legit,G Herbo,,,
,20 Cigarettes,Morgan Wallen,,,
,What You Is,YoungBoy Never Broke Again& Mellow Rackz,,,
,Camera,Ed Sheeran,,,
,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",,,
,Nobody's Son,Sabrina Carpenter,,,
,Bar None,Jordan Davis,,,
,Sienna,The Marias,,,
,Wish,DiploFeaturingTrippie Redd,,,
,Pixelated Kisses,Joji,,,
,Amen,Shaboozey&Jelly Roll,,,
,A Couple Minutes,Olivia Dean,,,
,How Far Does A Goodbye Go,Jason Aldean,,,
,Heavens To Betsy,Jackson Dean,,,
,Breakin' Dishes,Rihanna,,,
,Maui Wowie,Kid Cudi,,,
,"3,2,1",Tucker Wetmore,,,
,ErrTime,Cardi B,,,
,Nice To Each Other,Olivia Dean,,,
,The Subway,Chappell Roan,,,
,Amor,Emmanuell Cortes,,,
,Let Down,Radiohead,,,
,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,,,
,Outside,Cardi B,,,
,Favorite Country Song,HARDY,,,
