Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Luther,Kendrick Lamar & SZA,1,1,24
2,Ordinary,Alex Warren,2,2,13
3,Die With A Smile,Lady Gaga & Bruno Mars,3,1,38
4,A Bar Song (Tipsy),Shaboozey,5,1,56
5,Nokia,Drake,4,2,12
6,Pink Pony Club,Chappell Roan,6,4,47
7,Lose Control,Teddy Swims,7,1,90
8,Beautiful Things,Benson Boone,9,2,67
9,Anxiety,Doechii,10,9,9
10,I'm The Problem,Morgan Wallen,8,2,14
11,Birds Of A Feather,Billie Eilish,12,2,51
12,All The Way,BigXthaPlug Featuring Bailey Zimmerman,11,4,5
13,Mutt,Leon Thomas,15,13,14
14,I Had Some Help,Post Malone Featuring Morgan Wallen,14,1,52
15,Blue Strips,Jessie Murph,18,15,4
16,Love Somebody,Morgan Wallen,17,1,29
17,Just In Case,Morgan Wallen,13,4,7
18,Messy,Lola Young,21,14,23
19,Espresso,Sabrina Carpenter,19,3,56
20,APT.,ROSE & Bruno Mars,20,3,29
21,That's So True,Gracie Abrams,16,6,29
22,Not Like Us,Kendrick Lamar,22,1,52
23,30 For 30,SZA With Kendrick Lamar,23,10,20
24,I Never Lie,Zach Top,27,24,33
25,Burning Blue,Mariah The Scientist,-,25,1
26,Stargazing,Myles Smith,29,19,51
27,TV Off,Kendrick Lamar Featuring Lefty Gunplay,24,2,24
28,No One Noticed,The Marias,26,22,32
29,I Ain't Coming Back,Morgan Wallen & Post Malone,25,8,3
30,Bad Dreams,Teddy Swims,31,30,23
31,Abracadabra,Lady Gaga,34,13,14
32,Sorry I'm Here For Someone Else,Benson Boone,33,32,10
33,Worst Way,Riley Green,37,33,17
34,Sports Car,Tate McRae,32,16,15
35,Squabble Up,Kendrick Lamar,28,1,24
36,Backup Plan,Bailey Zimmerman & Luke Combs,-,36,1
37,Timeless,The Weeknd & Playboi Carti,35,3,32
38,Taste,Sabrina Carpenter,30,2,37
39,Good News,Shaboozey,38,34,24
40,Weren't For The Wind,Ella Langley,41,39,14
41,Love Me Not,Ravyn Lenae,53,41,6
42,Wildflower,Billie Eilish,43,17,47
43,Sailor Song,Gigi Perez,42,22,38
44,Undressed,sombr,56,44,5
45,Mystical Magical,Benson Boone,40,40,2
46,Cry For Me,The Weeknd,45,12,14
47,Back To Friends,sombr,50,47,6
48,Dark Thoughts,Lil Tecca,46,28,8
49,Azizam,Ed Sheeran,49,28,5
50,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,44,40,12
51,Indigo,Sam Barber Featuring Avery Anna,48,40,22
52,Residuals,Chris Brown,51,40,35
53,Am I Okay?,Megan Moroney,54,50,35
54,DTMF,Bad Bunny,52,2,18
55,Party 4 U,Charli xcx,57,55,3
56,I'm A Little Crazy,Morgan Wallen,55,17,7
57,Somebody Loves Me,PARTYNEXTDOOR & Drake,59,30,12
58,Happen To Me,Russell Dickerson,71,58,3
59,Me Jalo,Fuerza Regida & Grupo Frontera,58,48,12
60,What Was That,Lorde,36,36,2
61,Your Way's Better,Forrest Frank,62,61,3
62,After All The Bars Are Closed,Thomas Rhett,63,62,2
63,Peekaboo,Kendrick Lamar Featuring AzChike,64,13,24
64,Por Esos Ojos,Fuerza Regida,-,64,7
65,Revolving Door,Tate McRae,65,22,11
66,Baile Inolvidable,Bad Bunny,68,3,18
67,Backseat Driver,Kane Brown,74,67,9
68,Rather Lie,Playboi Carti & The Weeknd,70,4,8
69,Twilight Zone,Ariana Grande,66,18,6
70,Hands Of Time,Eric Church,-,70,2
71,Money On Money,Young Thug Featuring Future,39,39,2
72,Texas,Blake Shelton,61,61,8
73,Denial Is A River,Doechii,60,21,18
74,House Again,Hudson Westbrook,72,72,3
75,Smile,Morgan Wallen,69,4,19
76,Priceless,Maroon 5 & LISA,-,76,1
77,Like Him,"Tyler, The Creator Featuring Lola Young",89,29,28
78,Amen,Shaboozey & Jelly Roll,77,77,2
79,Thought It Was Love,Ty Myers,-,79,1
80,EOO,Bad Bunny,81,24,16
81,Whim Whamiee,PLUTO & YKNIECE,85,81,3
82,Feel It,d4vd,75,75,9
83,Whiskey Drink,Jason Aldean,91,83,4
84,Are You Even Real,Teddy Swims & GIVEON,83,59,13
85,Loco,Neton Vega,78,43,19
86,Busy Woman,Sabrina Carpenter,84,27,12
87,The Largest,BigXthaPlug,86,71,16
88,Te Queria Ver,Aleman X Neton Vega,76,58,8
89,Old Phone,Ed Sheeran,-,89,1
90,Fix What You Didn't Break,Nate Smith,67,64,7
91,My World,Chuckyy,79,79,2
92,Gnarly,KATSEYE,-,92,1
93,Morena,Neton Vega & Peso Pluma,90,83,6
94,Holy Smokes,Bailey Zimmerman,73,54,16
95,Me Prometi,Ivan Cornejo,-,95,1
96,BMF,SZA,82,29,20
97,Haunted,Kane Brown With Jelly Roll,95,58,8
98,Steve's Lava Chicken,Jack Black,88,78,3
99,The Days,CHRYSTAL,-,83,6
100,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",92,21,12
