Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Manchild,Sabrina Carpenter,ManchildSabrina Carpenter,-,1
2,Ordinary,Alex Warren,1,1,18
3,What I Want,Morgan Wallen Featuring Tate McRae,2,1,4
4,Just In Case,Morgan Wallen,3,2,12
5,Luther,Kendrick Lamar & SZA,4,1,29
6,I'm The Problem,Morgan Wallen,5,2,19
7,A Bar Song (Tipsy),Shaboozey,6,1,61
8,Die With A Smile,Lady Gaga & Bruno Mars,7,1,43
9,Lose Control,Teddy Swims,8,1,95
10,Beautiful Things,Benson Boone,9,2,72
11,Pink Pony Club,Chappell Roan,12,4,52
12,Nokia,Drake,10,2,17
13,Anxiety,Doechii,11,9,14
14,Mutt,Leon Thomas,14,13,19
15,I Had Some Help,Post Malone Featuring Morgan Wallen,15,1,57
16,Birds Of A Feather,Billie Eilish,13,2,56
17,Espresso,Sabrina Carpenter,20,3,61
18,Blue Strips,Jessie Murph,16,15,9
19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,18,4,10
20,Worst Way,Riley Green,23,20,22
21,I Got Better,Morgan Wallen,17,7,4
22,Love Somebody,Morgan Wallen,19,1,34
23,Love Me Not,Ravyn Lenae,36,23,11
24,APT.,ROSE & Bruno Mars,24,3,34
25,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,21,8,8
26,30 For 30,SZA With Kendrick Lamar,28,10,25
27,Sports Car,Tate McRae,22,16,20
28,Weren't For The Wind,Ella Langley,30,28,19
29,20 Cigarettes,Morgan Wallen,27,20,4
30,Mystical Magical,Benson Boone,35,30,7
31,Sorry I'm Here For Someone Else,Benson Boone,32,30,15
32,Back To Friends,sombr,38,32,11
33,Timeless,The Weeknd & Playboi Carti,31,3,37
34,Undressed,sombr,25,25,10
35,That's So True,Gracie Abrams,37,6,34
36,Hip-Hop,Lil Wayne & BigXthaPlug Featuring Jay Jones,-,36,1
37,Messy,Lola Young,29,14,28
38,Superman,Morgan Wallen,26,8,5
39,Good News,Shaboozey,44,34,29
40,Burning Blue,Mariah The Scientist,41,25,6
41,Abracadabra,Lady Gaga,42,13,19
42,Typa,GloRilla,-,42,1
43,TV Off,Kendrick Lamar Featuring Lefty Gunplay,40,2,29
44,Wildflower,Billie Eilish,48,17,52
45,Am I Okay?,Megan Moroney,34,34,40
46,Cry For Me,The Weeknd,46,12,19
47,No One Noticed,The Marias,39,22,37
48,Backup Plan,Bailey Zimmerman & Luke Combs,52,36,6
49,Happen To Me,Russell Dickerson,54,49,8
50,Squabble Up,Kendrick Lamar,47,1,29
51,Just Keep Watching,Tate McRae,33,33,2
52,TN,Morgan Wallen,43,31,4
53,Bloodline,Alex Warren With Jelly Roll,45,32,3
54,Sharks,"Lil Wayne, Jelly Roll & Big Sean",-,54,1
55,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",56,55,4
56,Touch Me Like A Gangster,Jessie Murph,-,56,1
57,Somebody Loves Me,PARTYNEXTDOOR & Drake,59,30,17
58,After All The Bars Are Closed,Thomas Rhett,60,58,7
59,Azizam,Ed Sheeran,61,28,10
60,Dark Til Daylight,Morgan Wallen,49,49,4
61,Banned From NO,Lil Wayne,-,61,1
62,Welcome To Tha Carter,Lil Wayne,-,62,1
63,Dark Thoughts,Lil Tecca,53,28,13
64,Party 4 U,Charli xcx,62,55,8
65,Bells,Lil Wayne,-,65,1
66,Whim Whamiee,PLUTO & YKNIECE,51,51,8
67,Indigo,Sam Barber Featuring Avery Anna,65,40,27
68,Your Way's Better,Forrest Frank,63,61,8
69,OWA OWA,Lil Tecca,50,50,2
70,I'm A Little Crazy,Morgan Wallen,57,17,12
71,Eyes Are Closed,Morgan Wallen,55,22,4
72,Peekaboo,Kendrick Lamar Featuring AzChike,67,13,29
73,Fame Is A Gun,Addison Rae,94,73,2
74,Sapphire,Ed Sheeran,-,74,1
75,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,72,40,17
76,Backseat Driver,Kane Brown,73,67,14
77,Marlboro Rojo,Fuerza Regida,71,71,5
78,House Again,Hudson Westbrook,79,72,8
79,Where'd That Girl Go,Morgan Wallen,64,32,4
80,Rather Lie,Playboi Carti & The Weeknd,83,4,13
81,Amen,Shaboozey & Jelly Roll,75,64,7
82,Thought It Was Love,Ty Myers,88,79,4
83,Tu Sancho,Fuerza Regida,81,81,2
84,Kick Myself,Morgan Wallen,58,21,4
85,"Skoal, Chevy, And Browning",Morgan Wallen,66,29,4
86,Me Jalo,Fuerza Regida & Grupo Frontera,76,48,17
87,Falling Apart,Morgan Wallen,68,25,4
88,Fix What You Didn't Break,Nate Smith,90,64,11
89,If You Were Mine,Morgan Wallen,69,41,4
90,Gnarly,KATSEYE,-,90,2
91,Kiss Her In Front Of You,Morgan Wallen,70,34,4
92,EOO,Bad Bunny,84,24,21
93,Cotton Candy,Lil Wayne & 2 Chainz,-,93,1
94,Cliche,mgk,78,62,3
95,Type Dangerous,Mariah Carey,-,95,1
96,Missing,Morgan Wallen,74,42,4
97,King Carter,Lil Wayne,-,97,1
98,Busy Woman,Sabrina Carpenter,91,27,16
99,Nice To Meet You,Myles Smith,100,99,2
100,Por Esos Ojos,Fuerza Regida,93,64,12
