Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,I Just Might,Bruno Mars,I Just MightBruno Mars,-,1
,The Fate Of Ophelia,Taylor Swift,,,
,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Man I Need,Olivia Dean,,,
,Ordinary,Alex Warren,,,
,Choosin' Texas,Ella Langley,,,
,End Of Beginning,Djo,,,
,Back To Friends,sombr,,,
,Folded,Kehlani,,,
,Opalite,Taylor Swift,,,
,Mutt,Leon Thomas,,,
,What You Saying,Lil Uzi Vert,,,
,Plastic Cigarette,Zach Bryan,,,
,I Got Better,Morgan Wallen,,,
,Daisies,Justin Bieber,,,
,So Easy (To Fall In Love),Olivia Dean,,,
,Sleepless In A Hotel Room,Luke Combs,,,
,Where Is My Husband!,RAYE,,,
,20 Cigarettes,Morgan Wallen,,,
,FDO,Pooh Shiesty,,,
,Die On This Hill,Sienna Spiro,,,
,It Depends,Chris BrownFeaturingBryson Tiller,,,
,Tit For Tat,Tate McRae,,,
,Gabriela,KATSEYE,,,
,Say Why,Zach Bryan,,,
,A Couple Minutes,Olivia Dean,,,
,wgft,GunnaFeaturingBurna Boy,,,
,4 Raws,EsDeeKid,,,
,6 Months Later,Megan Moroney,,,
,Purple Rain,PrinceAnd The Revolution,,,
,Hell At Night,BigXthaPlug Featuring Ella Langley,,,
,Nice To Meet You,Myles Smith,,,
,Yukon,Justin Bieber,,,
,Is It A Crime,Mariah The Scientist&Kali Uchis,,,
,Bad News,Zach Bryan,,,
,Better Me For You (Brown Eyes),Max McNown,,,
,Happen To Me,Russell Dickerson,,,
,Appetite,Zach Bryan,,,
,The Fall,Cody Johnson,,,
,Don't Mind If I Do,Riley GreenFeaturing Ella Langley,,,
,House Again,Hudson Westbrook,,,
,I Thought I Saw Your Face Today,She & Him,,,
,No Broke Boys,Disco Lines &Tinashe,,,
,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,,
,Amen,Shaboozey&Jelly Roll,,,
,Runny Eggs,Zach Bryan,,,
,Chanel,Tyla,,,
,Lush Life,Zara Larsson,,,
,Days Like These,Luke Combs,,,
,How Far Does A Goodbye Go,Jason Aldean,,,
,Skin,Zach Bryan,,,
,Favorite Country Song,HARDY,,,
,Travelin' Soldier,Cody Johnson,,,
,12 To 12,sombr,,,
,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Deann's Denim,Zach Bryan,,,
,Drowning,Zach Bryan,,,
,Dry Deserts,Zach Bryan,,,
,Internet Girl,KATSEYE,,,
,ErrTime,Cardi B,,,
,Santa Fe,Zach Bryan,,,
,When Did You Get Hot?,Sabrina Carpenter,,,
,You Stole The Show,Sienna Spiro,,,
,Punk Rocky,A$AP Rocky,,,
,Gone Gone Gone,"David Guetta,Teddy Swims&Tones And I",,,
,Shot Callin,YoungBoy Never Broke Again,,,
,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,,,
,With Heaven On Top,Zach Bryan,,,
,South And Pine,Zach Bryan,,,
,Beautiful Things,Megan Moroney,,,
,Cannonball,Zach Bryan,,,
,Slicked Back,Zach Bryan,,,
,Anyways,Zach Bryan,,,
,Tears,Sabrina Carpenter,,,
,Dracula,Tame Impala,,,
,Take Me Thru Dere,"Metro Boomin,Quavo, Breskii & YKNIECE",,,
,Rather Be,The Kid LaroiFeaturing Lithe,,,
,Elizabeth Taylor,Taylor Swift,,,
,Who Knows,Daniel Caesar,,,
,Zoo,Shakira,,,
,Nice To Each Other,Olivia Dean,,,
,Eternity,Alex Warren,,,
,Stateside,PinkPantheressWithZara Larsson,,,
,Let Alone The One You Love,Olivia Dean,,,
,Brunette,Tucker Wetmore,,,
,Stay Country Or Die Tryin',Blake Shelton,,,
,If They Come Lookin',Zach Bryan,,,
,Phantom,EsDeeKid & Rico Ace,,,
,Rivers And Creeks,Zach Bryan,,,
,Camera,Ed Sheeran,,,
,"Girl, Get Up.",Doechii&SZA,,,
,Bloodline,Alex WarrenWithJelly Roll,,,
,BOO,H3adband,,,
,Mr Recoup,21 Savage&Drake,,,
,You Can Still Come Home,Zach Bryan,,,
,What An Awesome God,Phil Wickham,,,
,3am,Loe Shimmy &Don Toliver,,,
,Father Figure,Taylor Swift,,,
,Darlin',Chase Matthew,,,
,Big Guy,Ice Spice,,,
